geometry;og_line_id;type;censored;f_set;length;id;Area;b_group
LINESTRING Z (-27.784500088920197 -9.464538047982735 0, -28.65653188488815 -8.041027995594588 0);1;fracture;1;1;1.6694;;;-9999
LINESTRING Z (-26.812126290796627 -9.69826363201451 0, -27.253320849720705 -8.978054927938242 0);2;fracture;1;1;0.8446;;;-9999
LINESTRING Z (-27.253320849720705 -8.978054927938242 0, -27.50732071747043 -8.563423985902856 0);3;fracture;0;1;0.4862;;;-9999
LINESTRING Z (-27.50732071747043 -8.563423985902856 0, -27.829935882173416 -8.036785012265668 0);4;fracture;0;1;0.6176;;;-9999
LINESTRING Z (-27.829935882173416 -8.036785012265668 0, -28.1040742065403 -7.589279930128224 0, -28.1040742065403 -7.589279930128224 0, -28.1040742065403 -7.589279930128223 0);5;fracture;1;1;0.5248;;;-9999
LINESTRING Z (-23.097077713767202 -14.409148347463342 0, -24.330488301758837 -12.39572133844107 0);6;fracture;1;1;2.3612;;;-9999
LINESTRING Z (-25.828859403660545 -9.949771161363607 0, -26.785877098743782 -8.387529605994457 0);7;fracture;1;1;1.8321;;;-9999
LINESTRING Z (-26.785877098743782 -8.387529605994457 0, -27.362851537238278 -7.4456729936948385 0);8;fracture;0;1;1.1045;;;-9999
LINESTRING Z (-27.362851537238278 -7.4456729936948385 0, -27.453664831057107 -7.2974288158571605 0, -27.453664831057107 -7.2974288158571605 0, -27.453664831057107 -7.297428815857159 0);9;fracture;1;1;0.1738;;;-9999
LINESTRING Z (-21.890228787296575 -15.025632569173624 0, -21.909711839665427 -14.993828314986445 0);10;fracture;1;1;0.0373;;;-9999
LINESTRING Z (-21.974421136415806 -14.888196462073457 0, -21.97442113641581 -14.888196462073454 0, -21.97442113641581 -14.888196462073454 0, -23.57584287944189 -12.27402578635837 0);11;fracture;1;1;3.0657;;;-9999
LINESTRING Z (-24.408237083936083 -10.915220381411109 0, -24.52280535567241 -10.72819843191858 0, -24.52280535567241 -10.72819843191858 0, -24.52280535567241 -10.728198431918578 0);12;fracture;1;1;0.2193;;;-9999
LINESTRING Z (-24.963911363497505 -10.008134279199421 0, -24.963911363497505 -10.00813427919942 0, -24.963911363497505 -10.00813427919942 0, -25.602556459873252 -8.965606106714427 0);13;fracture;1;1;1.2226;;;-9999
LINESTRING Z (-25.602556459873252 -8.965606106714427 0, -25.952601849915915 -8.394189864988105 0);14;fracture;0;1;0.6701;;;-9999
LINESTRING Z (-25.952601849915915 -8.394189864988105 0, -26.1161339783241 -8.127239015542203 0);15;fracture;0;1;0.3131;;;-9999
LINESTRING Z (-26.1161339783241 -8.127239015542203 0, -27.174552183481136 -6.399470645583549 0);16;fracture;1;1;2.0262;;;-9999
LINESTRING Z (-27.174552183481136 -6.399470645583549 0, -27.17455218348114 -6.399470645583544 0, -27.17455218348114 -6.399470645583544 0, -27.175934249930837 -6.397214551834088 0);17;fracture;1;1;0.0026;;;-9999
LINESTRING Z (-27.175934249930837 -6.397214551834088 0, -27.20638550664737 -6.347505733595734 0);18;fracture;1;1;0.0583;;;-9999
LINESTRING Z (-27.8122018618378 -5.358567399578356 0, -27.896782347560922 -5.2204976959053475 0, -27.896782347560922 -5.2204976959053475 0, -27.896782347560922 -5.220497695905347 0);19;fracture;1;1;0.1619;;;-9999
LINESTRING Z (-21.564683560729897 -14.203471225640948 0, -25.149959083327808 -8.350845472087725 0);20;fracture;1;1;6.8635;;;-9999
LINESTRING Z (-25.149959083327808 -8.350845472087725 0, -27.191397237224354 -5.018389308405318 0);21;fracture;1;1;3.908;;;-9999
LINESTRING Z (-27.54609799488782 -4.43937361602087 0, -27.719452101684993 -4.15638930880919 0);22;fracture;1;1;0.3319;;;-9999
LINESTRING Z (-20.50435916109598 -14.580767911027563 0, -23.955597370013898 -8.946945490450037 0);23;fracture;1;1;6.6069;;;-9999
LINESTRING Z (-23.955597370013898 -8.946945490450037 0, -24.075797575256495 -8.750729938158129 0);24;fracture;1;1;0.2301;;;-9999
LINESTRING Z (-24.227481875566596 -8.503119555968778 0, -24.74913380562811 -7.651571745758503 0);25;fracture;1;1;0.9986;;;-9999
