,type,U-nodes,length
1358,network,0,5.922
1359,network,0,5.556
1360,network,1,3.053
1361,network,0,2.455
1362,network,0,2.505
1363,network,0,2.132
1364,network,0,3.282
1365,network,0,1.978
1366,network,0,2.746
1367,network,0,1.95
1368,network,0,2.118
1369,network,0,1.394
1370,network,0,0.429
1371,network,0,1.483
1372,network,0,3.04
1373,network,0,1.511
1374,network,0,4.359
1375,network,0,2.506
1376,network,1,1.967
1377,network,0,2.807
1378,network,0,0.747
1379,network,0,0.33
1380,network,0,1.134
1381,network,0,0.658
1382,network,0,0.541
1383,network,0,0.641
1384,network,0,0.496
1385,network,0,0.429
1386,network,0,0.266
1387,network,0,0.746
1388,network,0,0.504
1389,network,0,1.21
1390,network,0,1.523
1391,network,0,1.333
1392,network,0,0.865
1393,network,0,0.355
1394,network,0,1.808
1395,network,0,0.588
1396,network,0,0.579
1397,network,0,0.828
1398,network,0,4.843
1399,network,0,1.056
1400,network,0,1.094
1401,network,0,0.259
1402,network,0,3.18
1403,network,0,2.149
1404,network,0,0.475
1405,network,0,1.059
1406,network,0,0.494
1407,network,0,0.437
1408,network,0,0.396
1409,network,0,0.343
1410,network,0,2.913
1411,network,0,1.009
1412,network,0,0.404
1413,network,0,1.368
1414,network,0,1.621
1415,network,0,17.024
1416,network,0,1.131
1417,network,0,1.858
1418,network,0,1.996
1419,network,0,0.679
1420,network,1,1.869
1421,network,1,0.591
1422,network,0,1.39
1423,network,0,1.061
1424,network,0,0.259
1425,network,0,0.503
1426,network,0,0.682
1427,network,0,0.605
1428,network,0,1.532
1429,network,1,3.171
1430,network,0,0.705
1431,network,0,0.537
1432,network,0,3.078
1433,network,0,0.587
1434,network,0,0.493
1435,network,1,1.192
1436,network,0,0.364
1437,network,0,0.917
1438,network,0,0.53
1439,network,0,0.487
1440,network,0,0.798
1441,network,0,0.571
1442,network,0,0.613
1443,network,0,0.263
1444,network,0,1.751
1445,network,0,0.905
1446,network,0,0.345
1447,network,0,0.483
1448,network,1,0.32
1449,network,0,0.854
1450,network,0,0.233
1451,network,0,1.401
1452,network,0,0.761
1453,network,0,0.894
1454,network,0,0.746
1455,network,0,0.352
1456,network,0,2.122
1457,network,0,1.221
1458,network,0,0.7
1459,network,0,0.658
1460,network,0,0.927
1461,network,0,1.02
1462,network,0,1.632
1463,network,1,7.497
1464,network,0,1.951
1465,network,1,0.706
1466,network,0,0.346
1467,network,0,0.692
1468,network,0,1.94
1469,network,1,0.521
1470,network,1,0.758
1471,network,1,1.238
1472,network,0,1.977
1473,network,0,1.432
1474,network,0,1.745
1475,network,0,0.565
1476,network,0,1.161
1477,network,0,0.773
1478,network,0,1.791
1479,network,0,1.717
1480,network,0,0.227
1481,network,0,0.389
1482,network,0,2.398
1483,network,0,1.087
1484,network,0,0.516
1485,network,0,2.192
1486,network,0,0.269
1487,network,0,0.934
1488,network,0,1.497
1489,network,0,0.259
1490,network,0,0.247
1491,network,0,0.667
1492,network,0,0.384
1493,network,0,2.048
1494,network,0,0.773
1495,network,0,1.099
1496,network,0,2.309
1497,network,0,0.929
1498,network,1,11.865
1499,network,0,0.571
1500,network,0,0.935
1501,network,0,0.982
1502,network,0,0.559
1503,network,0,0.299
1504,network,0,0.65
1505,network,0,1.186
1506,network,0,0.21
1507,network,0,0.407
1508,network,0,0.417
1509,network,0,1.653
1510,network,0,0.637
1511,network,1,3.147
1512,network,0,0.442
1513,network,0,0.565
1514,network,0,1.036
1515,network,0,0.454
1516,network,0,0.216
1517,network,0,1.674
1518,network,0,0.491
1519,network,0,1.583
1520,network,0,0.271
1521,network,0,0.908
1522,network,0,0.754
1523,network,0,0.336
1524,network,0,0.652
1525,network,0,1.471
1526,network,0,0.783
1527,network,0,0.228
1528,network,0,0.272
1529,network,0,0.283
1530,network,0,1.196
1531,network,0,0.435
1532,network,0,0.856
1533,network,0,0.435
1534,network,0,0.482
1535,network,0,2.088
1536,network,0,1.28
1537,network,0,0.488
1538,network,0,1.189
1539,network,0,0.523
1540,network,0,0.687
1541,network,0,0.484
1542,network,0,1.034
1543,network,0,0.559
1544,network,0,0.657
1545,network,0,0.736
1546,network,0,1.47
1547,network,0,1.349
1548,network,0,0.781
1549,network,0,0.903
1550,network,0,0.671
1551,network,1,0.417
1552,network,0,1.294
1553,network,0,1.364
1554,network,0,1.37
1555,network,0,0.566
1556,network,0,0.538
1557,network,0,1.812
1558,network,0,0.867
1559,network,0,0.878
1560,network,0,0.217
1561,network,0,0.466
1562,network,0,2.165
1563,network,0,1.486
1564,network,0,0.333
1565,network,0,2.52
1566,network,0,0.473
1567,network,0,0.337
1568,network,1,2.515
1569,network,1,0.341
1570,network,0,2.044
1571,network,0,1.856
1572,network,1,1.126
1573,network,0,0.871
1574,network,1,1.207
1575,network,1,0.752
1576,network,0,0.422
1577,network,0,0.42
1578,network,0,0.87
1579,network,1,0.575
1580,network,0,0.522
1581,network,1,0.865
1582,network,0,0.311
1583,network,1,0.782
1584,network,0,0.905
1585,network,0,4.661
1586,network,0,0.889
1587,network,0,3.714
1588,network,0,0.287
1589,network,0,1.003
1590,network,0,0.297
1591,network,0,0.244
1592,network,0,0.287
1593,network,0,1.555
1594,network,0,1.298
1595,network,0,4.537
1596,network,0,5.372
1597,network,1,2.113
1598,network,0,0.658
1599,network,0,1.021
1600,network,0,0.797
1601,network,0,0.791
1602,network,0,1.072
1603,network,0,1.396
1604,network,1,1.486
1605,network,0,0.696
1606,network,0,1.008
1607,network,1,0.686
1608,network,0,0.635
1609,network,0,0.14
1610,network,0,2.088
1611,network,0,2.136
1612,network,0,0.33
1613,network,0,1.056
1614,network,1,0.522
1615,network,0,0.705
1616,network,0,0.343
1617,network,0,1.289
1618,network,1,1.073
1619,network,0,0.48
1620,network,0,0.393
1621,network,0,0.578
1622,network,0,0.662
1623,network,0,3.089
1624,network,0,1.369
1625,network,0,0.671
1626,network,0,2.305
1627,network,0,0.517
1628,network,0,0.593
1629,network,0,0.419
1630,network,0,1.092
1631,network,0,0.356
1632,network,0,1.303
1633,network,0,0.296
1634,network,0,0.965
1635,network,0,0.639
1636,network,0,1.719
1637,network,1,0.59
1638,network,1,0.65
1639,network,1,0.322
1640,network,0,0.397
1641,network,1,0.334
1642,network,0,0.322
1643,network,0,0.936
1644,network,0,0.139
1645,network,1,2.257
1646,network,0,1.065
1647,network,0,0.261
1648,network,0,0.099
1649,network,1,1.078
1650,network,1,0.727
1651,network,1,0.948
1652,network,0,0.552
1653,network,0,2.025
1654,network,0,0.405
1655,network,1,0.697
1656,network,1,1.448
1657,network,0,0.671
1658,network,0,0.845
1659,network,0,0.391
1660,network,0,0.43
1661,network,1,0.773
1662,network,1,0.726
1663,network,1,0.911
1664,network,0,0.538
1665,network,0,0.751
1666,network,0,0.47
1667,network,0,0.604
1668,network,0,0.242
1669,network,0,0.532
1670,network,0,0.65
1671,network,0,0.347
1672,network,0,2.048
1673,network,0,0.777
1674,network,1,0.599
1675,network,1,0.646
1676,network,1,0.691
1677,network,1,0.493
1678,network,1,0.658
1679,network,0,0.275
1680,network,0,0.218
1681,network,0,0.794
1682,network,0,1.311
1683,network,0,0.242
1684,network,0,1.528
1685,network,0,0.914
1686,network,1,0.619
1687,network,0,0.968
1688,network,0,0.576
1689,network,0,0.747
1690,network,0,0.461
1691,network,1,1.26
1692,network,0,1.506
1693,network,0,0.949
1694,network,0,1.481
1695,network,0,0.608
1696,network,0,1.328
1697,network,0,2.988
1698,network,0,2.161
1699,network,0,0.651
1700,network,0,0.844
1701,network,0,1.659
1702,network,0,0.46
1703,network,0,0.557
1704,network,0,0.979
1705,network,1,0.482
1706,network,1,0.691
1707,network,1,0.638
1708,network,1,0.262
1709,network,1,0.282
1710,network,1,0.508
1711,network,1,0.42
1712,network,1,0.477
1713,network,1,0.305
1714,network,1,0.34
1715,network,1,0.438
1716,network,1,0.301
1717,network,1,0.669
