,type,U-nodes,length
318,network,0,0.077
319,network,1,1.145
320,network,0,1.893
321,network,0,0.473
322,network,0,1.307
323,network,0,1.226
324,network,0,0.438
325,network,1,1.532
326,network,0,0.508
327,network,0,1.344
328,network,0,0.631
329,network,0,0.807
330,network,0,0.336
331,network,1,1.495
332,network,0,0.095
333,network,1,0.397
334,network,1,1.393
335,network,0,0.191
336,network,1,2.661
337,network,0,1.881
338,network,1,0.641
339,network,0,0.3
340,network,0,0.227
341,network,0,0.509
342,network,0,0.482
343,network,0,1.36
344,network,0,1.288
345,network,0,0.478
346,network,0,1.35
347,network,0,0.477
348,network,0,1.099
349,network,1,0.675
350,network,0,0.338
351,network,0,0.315
352,network,1,2.893
353,network,1,2.386
354,network,1,1.712
355,network,0,0.664
356,network,0,0.427
357,network,1,1.049
358,network,1,0.732
359,network,0,0.234
360,network,1,0.587
361,network,0,1.102
362,network,0,0.163
363,network,0,0.373
364,network,1,1.607
365,network,1,0.813
366,network,0,1.967
367,network,0,0.813
368,network,0,0.222
369,network,0,0.636
370,network,0,0.576
371,network,0,0.301
372,network,0,0.334
373,network,0,2.834
374,network,0,1.597
375,network,0,0.153
376,network,0,0.562
377,network,0,0.436
378,network,0,2.376
379,network,0,0.862
380,network,0,0.452
381,network,0,1.542
382,network,0,0.218
383,network,0,0.263
384,network,0,1.923
385,network,1,0.547
386,network,0,0.123
387,network,0,0.567
388,network,0,2.372
389,network,0,0.738
390,network,0,3.169
391,network,0,1.102
392,network,1,0.599
393,network,0,0.555
394,network,0,0.487
395,network,0,0.571
396,network,1,4.722
397,network,0,0.635
398,network,0,0.307
399,network,0,0.295
400,network,0,0.085
401,network,0,0.54
402,network,0,0.662
403,network,1,2.524
404,network,0,1.439
405,network,0,0.335
406,network,0,1.801
407,network,0,0.279
408,network,0,3.113
409,network,0,2.269
410,network,0,0.408
411,network,0,1.024
412,network,0,1.08
413,network,1,4.436
414,network,0,0.788
415,network,0,0.321
416,network,0,0.133
417,network,0,0.052
418,network,1,1.299
419,network,0,0.384
420,network,0,0.409
421,network,0,1.62
422,network,1,5.113
423,network,1,3.539
424,network,1,1.994
425,network,0,0.253
426,network,0,1.385
427,network,0,2.326
428,network,1,6.436
429,network,0,5.542
430,network,0,1.441
431,network,0,2.928
432,network,0,0.629
433,network,0,3.429
434,network,0,1.662
435,network,0,0.409
436,network,0,0.154
437,network,0,0.437
438,network,0,0.491
439,network,0,0.259
440,network,0,0.435
441,network,0,0.095
442,network,0,0.363
443,network,0,0.217
444,network,0,0.236
445,network,0,0.529
446,network,0,0.443
447,network,0,0.695
448,network,0,0.331
449,network,0,1.035
450,network,0,0.425
451,network,0,0.655
452,network,0,0.423
453,network,0,0.359
454,network,0,0.167
455,network,0,0.783
456,network,0,0.271
457,network,0,0.353
458,network,0,1.212
459,network,1,1.122
460,network,0,0.841
461,network,1,0.245
462,network,1,1.992
463,network,0,0.413
464,network,0,1.069
465,network,0,0.617
466,network,0,0.697
467,network,1,3.689
468,network,0,0.388
469,network,0,0.48
470,network,0,0.692
471,network,0,0.399
472,network,0,0.563
473,network,0,0.616
