id,length,azimuth
,0.781,"52"
,0.903,"155"
,0.671,"87"
,0.417,"134"
,1.294,"47"
,1.364,"130"
,1.370,"155"
,0.566,"67"
,0.538,"133"
,1.812,"108"
,0.867,"82"
,0.878,"62"
,0.217,"49"
,0.466,"42"
,2.165,"152"
,1.486,"115"
,0.333,"116"
,2.520,"84"
,0.473,"86"
,0.337,"13"
,2.515,"91"
,0.341,"147"
,2.044,"95"
,1.856,"113"
,1.126,"99"
,0.871,"86"
,1.207,"89"
,0.752,"128"
,0.422,"58"
,0.420,"92"
,0.870,"86"
,0.575,"141"
,0.522,"148"
,0.865,"98"
,0.311,"108"
,0.782,"84"
,0.905,"95"
,4.661,"103"
,0.889,"105"
,3.714,"83"
,0.287,"109"
,1.003,"99"
,0.297,"71"
,0.244,"98"
,0.287,"98"
,1.555,"92"
,1.298,"94"
,4.537,"93"
,5.372,"93"
,2.113,"92"
,0.658,"98"
,1.021,"92"
,0.797,"82"
,0.791,"88"
,1.072,"95"
,1.396,"91"
,1.486,"83"
,0.696,"125"
,1.008,"69"
,0.686,"61"
,0.635,"93"
,0.140,"178"
,2.088,"73"
,2.136,"160"
,0.330,"169"
,1.056,"104"
,0.522,"109"
,0.705,"131"
,0.343,"91"
,1.289,"146"
,1.073,"88"
,0.480,"95"
,0.393,"98"
,0.578,"101"
,0.662,"80"
,3.089,"90"
,1.369,"92"
,0.671,"102"
,2.305,"93"
,0.517,"42"
,0.593,"55"
,0.419,"91"
,1.092,"95"
,0.356,"95"
,1.303,"79"
,0.296,"143"
,0.965,"83"
,0.639,"78"
,1.719,"82"
,0.590,"63"
,0.650,"73"
,0.322,"64"
,0.397,"73"
,0.334,"88"
,0.322,"63"
,0.936,"84"
,0.139,"172"
,2.257,"76"
,1.065,"79"
,0.261,"169"
,0.099,"39"
,1.078,"133"
,0.727,"133"
,0.948,"86"
,0.552,"126"
,2.025,"117"
,0.405,"145"
,0.697,"81"
,1.448,"142"
,0.671,"88"
,0.845,"77"
,0.391,"99"
,0.430,"104"
,0.773,"82"
,0.726,"91"
,0.911,"113"
,0.538,"127"
,0.751,"90"
,0.470,"16"
,0.604,"76"
,0.242,"136"
,0.532,"75"
,0.650,"103"
,0.347,"88"
,2.048,"94"
,0.777,"87"
,0.599,"59"
,0.646,"69"
,0.691,"80"
,0.493,"79"
,0.658,"74"
,0.275,"75"
,0.218,"50"
,0.794,"19"
,1.311,"101"
,0.242,"86"
,1.528,"99"
,0.914,"40"
,0.619,"84"
,0.968,"117"
,0.576,"111"
,0.747,"44"
,0.461,"65"
,1.260,"29"
,1.506,"100"
,0.949,"111"
,1.481,"142"
,0.608,"137"
,1.328,"110"
,2.988,"117"
,2.161,"142"
,0.651,"49"
,0.844,"37"
,1.659,"130"
,0.460,"147"
,0.557,"65"
,0.979,"12"
,0.482,"119"
,0.691,"123"
,0.638,"91"
,0.262,"157"
,0.282,"155"
,0.508,"84"
,0.420,"73"
,0.477,"81"
,0.305,"81"
,0.340,"101"
,0.438,"79"
,0.301,"64"
,0.669,"103"
