id;Fault;Set;dir;geometry;og_line_id;type;censored;f_set;length;b_group
;0.0;1.0;119.80662;LINESTRING (636988.6315753243 4518539.224272091, 636989.4355860011 4518538.8092988385, 636990.4614920977 4518538.169548407, 636991.2309216702 4518537.682531187, 636992.0579864166 4518537.293493763, 636992.570939465 4518537.019726686, 636993.0147303045 4518536.748841369, 636993.6112543549 4518536.452020223, 636994.2942311665 4518536.1436720425, 636995.2740291238 4518535.570202062, 636995.8503808634 4518535.198455189, 636996.3201075309 4518534.877139094, 636996.5448847093 4518534.620662571, 636996.7033814377 4518534.571672672, 636996.9915573075 4518534.450638807, 636997.2883784535 4518534.234506905, 636997.3921217666 4518534.081773694, 636997.5707908059 4518534.018375003, 636997.8704937105 4518533.95785807, 636997.9857640584 4518533.865641791);31;fracture;0;1;10.8599;-9999
;0.0;1.0;116.5151;LINESTRING (636979.0180283064 4518534.375713076, 636979.8278025006 4518533.929040479, 636980.9113437711 4518533.413205671, 636981.6634827914 4518533.055867593);32;fracture;0;1;2.9576;-9999
;0.0;1.0;122.58896;LINESTRING (636983.9890620608 4518531.934863459, 636984.3925082786 4518531.715849798, 636985.0726033313 4518531.315285339, 636985.438586686 4518531.078981126, 636986.0293472192 4518530.707234254, 636986.392448815 4518530.410413108, 636986.5394185086 4518530.303788036, 636986.6431618219 4518530.249034621, 636986.7757227219 4518530.191399447, 636987.2512129071 4518529.848470162, 636987.5307435009 4518529.655392329, 636987.7036490227 4518529.560294292);33;fracture;0;1;4.4177;-9999
;1.0;1.0;119.59685;LINESTRING (636976.7417219373 4518546.954388062, 636978.0238215553 4518546.268731222, 636978.8480045431 4518545.7845957605, 636979.4589373871 4518545.447429992, 636980.1188601289 4518545.064156086, 636980.7614923186 4518544.692409214, 636981.7528173109 4518544.179456165, 636982.5395374354 4518543.7270200495, 636983.5250989102 4518543.110323688, 636984.3147007935 4518542.629069985, 636984.8132450483 4518542.369711703);34;fracture;1;1;9.2861;-9999
;0.0;1.0;122.40708;LINESTRING (636981.6548375152 4518547.761482226, 636982.3493413614 4518547.33210018, 636983.1418250034 4518546.86813703, 636983.7844571931 4518546.505035434, 636984.1158594434 4518546.213977805, 636984.1562040651 4518546.173633183);35;fracture;0;1;2.9711;-9999
;0.0;1.0;110.08464;LINESTRING (636975.662220301 4518540.654344821, 636975.9532779296 4518540.570773819, 636976.1578827971 4518540.492966334, 636976.4691127365 4518540.374814228, 636976.7212666225 4518540.268189156, 636976.8365369705 4518540.224962776);36;fracture;0;1;1.2515;-9999
;0.0;1.0;111.91149;LINESTRING (636977.1319172371 4518539.935346026, 636977.3783076057 4518539.812871282, 636977.7702267887 4518539.619793449, 636977.8797336193 4518539.55207212, 636978.002208364 4518539.503082221, 636978.2875024751 4518539.405102426, 636978.3782778741 4518539.377725719, 636978.5295702057 4518539.301359112, 636978.6361952776 4518539.288391199, 636978.8566498179 4518539.223551628, 636979.0698999616 4518539.155830299);37;fracture;0;1;2.0996;-9999
;0.0;1.0;120.01743;LINESTRING (636973.7472916457 4518541.073640712, 636973.9403694785 4518540.870476724, 636974.193964244 4518540.730711427, 636974.4806992344 4518540.6125593195, 636974.7443801553 4518540.464148747, 636974.9806843685 4518540.354641916, 636975.2112250644 4518540.2278445335);38;fracture;0;1;1.7061;-9999
;1.0;1.0;122.57789;LINESTRING (636990.5501669016 4518557.782014111, 636990.5501669017 4518557.782014111, 636990.5501669017 4518557.782014111, 636991.6156364534 4518557.192757989, 636992.2899679889 4518556.760494185, 636993.004644146 4518556.345520932, 636993.673212164 4518555.8354496425, 636994.2236280753 4518555.44353046, 636994.8547332302 4518554.965158516, 636995.2841152762 4518554.717327267, 636995.5593232318 4518554.535776471, 636995.7264652363 4518554.401774691, 636995.9541241735 4518554.241837083, 636996.2984943379 4518554.070372441, 636996.5953154839 4518553.9363706615, 636997.1212364462 4518553.619377204, 636997.735051049 4518553.250512092, 636997.9814414177 4518553.115069433, 636998.1529060602 4518552.969540619, 636998.2257581793 4518552.891237557, 636998.3042861038 4518552.8191935895, 636998.3597599587 4518552.791816882);39;fracture;1;1;9.2934;-9999
;0.0;1.0;118.27212;LINESTRING (636987.1937758235 4518554.329439811, 636987.1937758237 4518554.329439811, 636987.1937758237 4518554.329439811, 636987.7025683608 4518554.040834412, 636988.0714334742 4518553.852079217, 636988.1126943976 4518553.835229796);40;fracture;1;1;1.0439;-9999
;1.0;1.0;119.52565;LINESTRING (636988.129982245 4518553.626334973, 636988.1766176667 4518553.6056888485, 636988.627612903 4518553.392438704, 636988.8149272181 4518553.2951793475, 636989.2385457468 4518553.058875135, 636989.6794548277 4518552.793753334, 636989.9705124561 4518552.651106279, 636990.3480228456 4518552.391747998, 636990.7053609241 4518552.188584009, 636990.9892141559 4518552.021442005, 636991.2356045246 4518551.896085502, 636991.7744934013 4518551.628081942, 636992.111659169 4518551.459499058, 636992.4661154888 4518551.272184743, 636992.7355599271 4518551.138182963, 636993.1116294372 4518550.907642267, 636993.4113323418 4518550.733295865, 636993.7715521791 4518550.5085186865, 636994.0179425478 4518550.3067955775, 636994.2124612599 4518550.181439075);41;fracture;0;1;7.0025;-9999
;0.0;1.0;121.60196;LINESTRING (636996.3420809376 4518548.425007146, 636997.1965223916 4518547.904849701, 636997.788723804 4518547.569124812, 636998.3895704926 4518547.194496182, 636998.738263295 4518546.961073727, 636998.8362430908 4518546.890470639);42;fracture;0;1;2.9295;-9999
;0.0;1.0;118.73208;LINESTRING (636983.4966415403 4518549.6641633855, 636984.3237062866 4518549.243426615, 636984.5564083016 4518549.061155378, 636984.8229709811 4518548.92427184, 636985.0880927814 4518548.791710939);43;fracture;0;1;1.8196;-9999
;0.0;1.0;123.36813;LINESTRING (636984.7134641506 4518548.882486339, 636985.1039424542 4518548.690849385, 636985.5484537336 4518548.320543392, 636986.078697334 4518548.05830335, 636986.44179893 4518547.908451898, 636987.015268911 4518547.522296232, 636987.4215968874 4518547.15054936, 636987.5051678896 4518547.043924288);44;fracture;0;1;3.3754;-9999
;1.0;1.0;131.71249;LINESTRING (636988.0037121444 4518546.804738316, 636988.3437596709 4518546.571315861, 636988.6693984037 4518546.205332506, 636988.9258749279 4518545.957501259, 636989.4532367697 4518545.554055041, 636990.2803015161 4518544.98058506, 636990.4935516597 4518544.777421071, 636990.7730822535 4518544.391265406, 636990.8129801053 4518544.3006727975, 636990.8129801053 4518544.3006727975, 636990.8129801054 4518544.3006727975, 636990.8129801055 4518544.3006727975);45;fracture;0;1;3.7996;-9999
;1.0;1.0;122.79457;LINESTRING (636987.3466711611 4518546.43731408, 636988.1708541488 4518545.950296859, 636988.6405808165 4518545.650593955, 636989.0670811039 4518545.371063361, 636989.9892438874 4518544.765894035, 636990.6981565271 4518544.356684299, 636990.8129801053 4518544.3006727975, 636990.8129801053 4518544.3006727975, 636991.2889170602 4518544.06850843, 636992.1131000479 4518543.5613188995, 636992.6231713375 4518543.2961971, 636993.3234387011 4518542.869696812, 636993.7816383342 4518542.618983805, 636994.7527910153 4518541.970588097, 636995.1706460266 4518541.673766951, 636995.940075599 4518541.212685559, 636996.0812817751 4518541.168018299, 636996.2370383141 4518541.067611734, 636996.3329163393 4518540.925879002, 636996.5944966036 4518540.709111293, 636997.0988983883 4518540.400634168, 636997.4657360499 4518540.203667356, 636997.7366956861 4518540.015037764, 636997.9774329015 4518539.727403689, 636998.2713198917 4518539.555448535, 636998.4802714573 4518539.380888, 636998.593344998 4518539.300642262, 636998.7293458924 4518539.231860201, 636998.7689476855 4518539.205806389, 636998.8549252624 4518539.153698768, 636998.9362131533 4518539.093775001, 636999.0326122547 4518539.040104151, 636999.1029575448 4518538.990601908, 636999.1951880364 4518538.930157067, 636999.2656251362 4518538.891428929, 636999.398906476 4518538.807857926, 636999.5977478263 4518538.6752970265, 636999.9212252401 4518538.483660074, 637000.300176509 4518538.243033223, 637000.6373422766 4518538.0485145105, 637000.8232157127 4518537.931803283, 637001.1142733411 4518537.761779521, 637001.2151348956 4518537.668122363, 637001.373631624 4518537.568701688, 637001.674863114 4518537.286514183, 637002.1179335138 4518536.91908995, 637002.2015045161 4518536.838400706, 637002.3391084939 4518536.7620341005, 637002.409711582 4518536.71880772, 637002.6488975539 4518536.592730776, 637002.8477389041 4518536.460890316, 637003.1409578517 4518536.282221276, 637003.3426809604 4518536.1273267465, 637003.5883508895 4518535.976754854, 637003.7893535587 4518535.849957472, 637004.019173815 4518535.665524915, 637004.1863158195 4518535.576190395, 637004.3844367301 4518535.456597409, 637004.5256429062 4518535.380230804, 637004.7043119455 4518535.265680896, 637004.9226051669 4518535.137442634, 637005.0104988072 4518535.089893616, 637005.061650024 4518535.049548994, 637005.1091990427 4518535.025054045, 637005.1790816911 4518534.965977992, 637005.3152447896 4518534.886009188, 637005.389450076 4518534.8643959975, 637005.4672575608 4518534.820449178, 637005.5767643914 4518534.715985425, 637005.8743059769 4518534.5106601175, 637005.9683233546 4518534.438976368);46;fracture;0;1;22.2384;-9999
