geometry,original_line_id,type,censored,f_set,length,id,b_group
"LINESTRING Z (-62.699755616960815 -17.781073993526363 0, -61.44601579482221 -16.188585735200874 0)",41,fracture,0,1,2.0267911571054107,,-9999
"LINESTRING Z (-61.44601579482221 -16.188585735200874 0, -60.39240059761979 -14.850293849827022 0)",42,fracture,0,1,1.7032704289787313,,-9999
"LINESTRING Z (-60.39240059761979 -14.850293849827022 0, -57.86369323299807 -11.638354087052138 0)",43,fracture,0,1,4.087898968368289,,-9999
"LINESTRING Z (-57.86369323299807 -11.638354087052138 0, -55.18543486098957 -8.236456073706623 0)",44,fracture,0,1,4.329662573508215,,-9999
"LINESTRING Z (-55.18543486098957 -8.236456073706623 0, -54.006046259152654 -6.738408019984864 0)",45,fracture,0,1,1.9065952494964362,,-9999
"LINESTRING Z (-54.006046259152654 -6.738408019984864 0, -50.9149346466668 -2.812107793147938 0)",46,fracture,0,1,4.997079594333533,,-9999
"LINESTRING Z (-50.9149346466668 -2.812107793147938 0, -43.61009604689976 6.4664279075437054 0)",47,fracture,0,1,11.808975049412876,,-9999
"LINESTRING Z (-43.61009604689976 6.4664279075437054 0, -43.36631072874335 6.776081672911064 0)",48,fracture,0,1,0.3941024432235944,,-9999
"LINESTRING Z (-43.36631072874335 6.776081672911064 0, -41.38403671016314 9.29394705744353 0)",49,fracture,0,1,3.204536843190443,,-9999
"LINESTRING Z (-41.38403671016314 9.29394705744353 0, -39.975367505106355 11.083225127187758 0)",50,fracture,0,1,2.277249424227161,,-9999
"LINESTRING Z (-39.975367505106355 11.083225127187758 0, -39.3564099962805 11.869418999155714 0)",51,fracture,0,1,1.0006044183651597,,-9999
"LINESTRING Z (-39.3564099962805 11.869418999155714 0, -36.65687722099232 15.298339554840187 0)",52,fracture,0,1,4.364054695125921,,-9999
"LINESTRING Z (-36.65687722099232 15.298339554840187 0, -27.998676783204175 26.295902439846746 0)",53,fracture,0,1,13.99681478875064,,-9999
"LINESTRING Z (-27.998676783204175 26.295902439846746 0, -26.499484116507343 28.200162539529884 0)",54,fracture,0,1,2.423589317339635,,-9999
"LINESTRING Z (-26.499484116507343 28.200162539529884 0, -24.705312595295972 30.479101941867242 0)",55,fracture,1,1,2.900451042002205,,-9999
"LINESTRING Z (-64.27023418021295 -24.724644935473673 0, -63.690762690385455 -23.98860582489444 0)",56,fracture,1,1,0.9367714661672666,,-9999
"LINESTRING Z (-63.690762690385455 -23.98860582489444 0, -60.856477233064034 -20.388523709110714 0)",57,fracture,0,1,4.581895382259345,,-9999
"LINESTRING Z (-60.856477233064034 -20.388523709110714 0, -60.234168040006296 -19.598072560082045 0)",58,fracture,0,1,1.0060227386917837,,-9999
"LINESTRING Z (-60.234168040006296 -19.598072560082045 0, -59.1439106573518 -18.213238123325986 0)",59,fracture,0,1,1.7625060503890742,,-9999
"LINESTRING Z (-59.1439106573518 -18.213238123325986 0, -57.74334411157078 -16.434251973428292 0)",60,fracture,0,1,2.264150695225213,,-9999
"LINESTRING Z (-57.74334411157078 -16.434251973428292 0, -55.4504646552044 -13.52185855053236 0)",61,fracture,0,1,3.706660444544991,,-9999
"LINESTRING Z (-55.4504646552044 -13.52185855053236 0, -52.34342702562191 -9.575329250022845 0)",62,fracture,0,1,5.022825534639016,,-9999
"LINESTRING Z (-52.34342702562191 -9.575329250022845 0, -47.9689906859501 -4.018962303141615 0)",63,fracture,0,1,7.071697599461924,,-9999
"LINESTRING Z (-47.9689906859501 -4.018962303141615 0, -47.454102463216145 -3.364956236990477 0)",64,fracture,0,1,0.8323663955690511,,-9999
"LINESTRING Z (-47.454102463216145 -3.364956236990477 0, -45.416931702405684 -0.7773615387054481 0)",65,fracture,0,1,3.293282713538858,,-9999
"LINESTRING Z (-45.416931702405684 -0.7773615387054481 0, -41.198211868181176 4.581215801294413 0)",66,fracture,0,1,6.819966872972277,,-9999
"LINESTRING Z (-41.198211868181176 4.581215801294413 0, -40.954664875395046 4.890566848069666 0)",67,fracture,0,1,0.39371716731190587,,-9999
"LINESTRING Z (-40.954664875395046 4.890566848069666 0, -38.782589042567096 7.649516670745602 0)",68,fracture,0,1,3.5113697537569033,,-9999
"LINESTRING Z (-38.782589042567096 7.649516670745602 0, -37.21908860580798 9.635459881178635 0)",69,fracture,0,1,2.5275490204565765,,-9999
"LINESTRING Z (-37.21908860580798 9.635459881178635 0, -37.160934015661105 9.709327282007191 0, -33.130451999807725 14.828806756376926 0)",70,fracture,0,1,6.609674807587522,,-9999
"LINESTRING Z (-33.130451999807725 14.828806756376926 0, -29.55689310806221 19.367906875117715 0)",71,fracture,0,1,5.777002080727174,,-9999
"LINESTRING Z (-29.55689310806221 19.367906875117715 0, -25.33794568362478 24.726773298016113 0)",72,fracture,0,1,6.820334794468309,,-9999
"LINESTRING Z (-25.33794568362478 24.726773298016113 0, -24.016680919118006 26.405031088398093 0)",73,fracture,0,1,2.135951729067151,,-9999
"LINESTRING Z (-24.016680919118006 26.405031088398093 0, -20.881347513755998 30.387501411034684 0)",74,fracture,0,1,5.068568381057921,,-9999
"LINESTRING Z (-20.881347513755998 30.387501411034684 0, -19.390319068098577 32.281391395711466 0)",75,fracture,0,1,2.410391067818375,,-9999
"LINESTRING Z (-19.390319068098577 32.281391395711466 0, -17.658014616669504 34.481747841309634 0)",76,fracture,1,1,2.800436965926279,,-9999
"LINESTRING Z (-65.64803218277278 -31.42347488324354 0, -60.251164113332614 -24.568424991269147 0)",77,fracture,1,1,8.724556950378682,,-9999
"LINESTRING Z (-50.065222376684474 -11.630339808706895 0, -46.63981286917914 -7.279417612302659 0)",78,fracture,1,1,5.537504334379433,,-9999
"LINESTRING Z (-46.63981286917914 -7.279417612302659 0, -45.160298740002425 -5.400153001626447 0)",79,fracture,0,1,2.3917770664034608,,-9999
"LINESTRING Z (-45.160298740002425 -5.400153001626447 0, -44.85131096306453 -5.007679700506959 0)",80,fracture,0,1,0.4995084968132697,,-9999
"LINESTRING Z (-44.85131096306453 -5.007679700506959 0, -41.175480008490084 -0.3386745916447174 0)",81,fracture,0,1,5.942334719046831,,-9999
"LINESTRING Z (-41.175480008490084 -0.3386745916447174 0, -38.297428083091276 3.316999270760506 0)",82,fracture,0,1,4.652648092598935,,-9999
"LINESTRING Z (-38.297428083091276 3.316999270760506 0, -36.299683887797336 5.854514724897369 0)",83,fracture,0,1,3.2295458736197014,,-9999
"LINESTRING Z (-36.299683887797336 5.854514724897369 0, -34.64520377739383 7.9560194413674585 0)",84,fracture,0,1,2.674626424207094,,-9999
"LINESTRING Z (-34.64520377739383 7.9560194413674585 0, -30.85536659156582 12.769834168175437 0)",85,fracture,0,1,6.126636770620417,,-9999
"LINESTRING Z (-30.85536659156582 12.769834168175437 0, -26.994202349825365 17.674247835079083 0)",86,fracture,0,1,6.241943825268407,,-9999
"LINESTRING Z (-26.994202349825365 17.674247835079083 0, -25.89469632377414 19.070829809685232 0)",87,fracture,0,1,1.777457373080369,,-9999
"LINESTRING Z (-25.89469632377414 19.070829809685232 0, -22.39041509080408 23.52193411285401 0)",88,fracture,0,1,5.665008073907201,,-9999
"LINESTRING Z (-22.39041509080408 23.52193411285401 0, -21.482496454110382 24.675163628993403 0)",89,fracture,0,1,1.4677379083987858,,-9999
