type,node_type,Y_node_origin,geometry,id,length,azimuth,censored,set,Area,group
node,1.0,,POINT Z (-26.387963100802153 -8.735914221033454 0),,,,,,,
node,1.0,,POINT Z (-24.628605895733926 -8.151486861519516 0),,,,,,,
node,1.0,,POINT Z (-24.70105180272367 -9.316088989377022 0),,,,,,,
node,1.0,,POINT Z (-25.862920101208147 -9.136948626488447 0),,,,,,,
node,1.0,,POINT Z (-26.23107288137544 -9.372663607820868 0),,,,,,,
node,1.0,,POINT Z (-22.94807350373594 -9.293686939403415 0),,,,,,,
node,1.0,,POINT Z (-23.466889467381407 -9.890264547429979 0),,,,,,,
node,1.0,,POINT Z (-21.258580300374888 -8.744495333172381 0),,,,,,,
node,1.0,,POINT Z (-21.3132564558764 -9.333782787434757 0),,,,,,,
node,1.0,,POINT Z (-26.553662198828533 -8.132122391834855 0),,,,,,,
node,1.0,,POINT Z (-16.647861615463626 -11.399022680707276 0),,,,,,,
node,1.0,,POINT Z (-16.410324095748365 -11.689413817599416 0),,,,,,,
node,1.0,,POINT Z (-20.48400143283652 -11.64658416248858 0),,,,,,,
node,1.0,,POINT Z (-16.387542364536785 -9.967418681830168 0),,,,,,,
node,1.0,,POINT Z (-16.37782215914922 -10.497169876471162 0),,,,,,,
node,1.0,,POINT Z (-16.941594073025044 -10.801533812656999 0),,,,,,,
node,1.0,,POINT Z (-16.615967191697564 -10.469831802882254 0),,,,,,,
node,1.0,,POINT Z (-21.423564348835498 -8.65775251109153 0),,,,,,,
node,1.0,,POINT Z (-14.58536696509691 -8.602387363091111 0),,,,,,,
node,1.0,,POINT Z (-15.797984031552915 -9.115718556568027 0),,,,,,,
node,1.0,,POINT Z (-14.617262103536632 -9.653723348863423 0),,,,,,,
node,1.0,,POINT Z (-17.60698001284618 -9.218023715540767 0),,,,,,,
node,1.0,,POINT Z (-21.915983164624777 -13.812578626908362 0),,,,,,,
node,1.0,,POINT Z (-21.94667471322464 -13.754204505123198 0),,,,,,,
node,1.0,,POINT Z (-21.879875460406765 -13.698237563483417 0),,,,,,,
node,1.0,,POINT Z (-12.423869520658627 -5.843909200280905 0),,,,,,,
node,1.0,,POINT Z (-11.878643186937552 -5.7283645467832685 0),,,,,,,
node,1.0,,POINT Z (-13.366280600603204 -13.558922004885972 0),,,,,,,
node,1.0,,POINT Z (-19.97459226672072 -6.292547417804599 0),,,,,,,
node,1.0,,POINT Z (-19.769380147743504 -6.393648989498615 0),,,,,,,
node,1.0,,POINT Z (-20.79122817714233 -5.691955938003957 0),,,,,,,
node,1.0,,POINT Z (-20.33266033360269 -5.482531253248453 0),,,,,,,
node,1.0,,POINT Z (-16.0863943171571 -7.788609961047769 0),,,,,,,
node,1.0,,POINT Z (-15.962725430261344 -5.6757074650377035 0),,,,,,,
node,1.0,,POINT Z (-13.47129383898573 -4.829583595506847 0),,,,,,,
node,1.0,,POINT Z (-15.33204419631511 -4.319261376745999 0),,,,,,,
node,1.0,,POINT Z (-14.621926013380289 -3.876340205781162 0),,,,,,,
node,1.0,,POINT Z (-14.649608586623799 -4.683949191123247 0),,,,,,,
node,1.0,,POINT Z (-14.834961468237452 -4.154971322976053 0),,,,,,,
node,1.0,,POINT Z (-16.962307041801978 -3.7018196368589997 0),,,,,,,
node,1.0,,POINT Z (-16.59641563904006 -3.64164013043046 0),,,,,,,
node,1.0,,POINT Z (-18.84712920198217 -4.148351580835879 0),,,,,,,
node,1.0,,POINT Z (-17.54965903039556 -4.090579253621399 0),,,,,,,
node,1.0,,POINT Z (-19.71010333299637 -4.04123206064105 0),,,,,,,
