type,n_type,n_origin,geometry,id,length,azimuth,censored,f_set,Area,b_group
node,1.0,,POINT Z (410095.8184340137 5081028.860048036 0),,,,,,,
node,1.0,,POINT Z (410097.5777912187 5081029.444475396 0),,,,,,,
node,1.0,,POINT Z (410097.5053453117 5081028.279873268 0),,,,,,,
node,1.0,,POINT Z (410096.34347701323 5081028.459013631 0),,,,,,,
node,1.0,,POINT Z (410095.9753242331 5081028.223298649 0),,,,,,,
node,1.0,,POINT Z (410099.2583236107 5081028.302275318 0),,,,,,,
node,1.0,,POINT Z (410098.7395076471 5081027.70569771 0),,,,,,,
node,1.0,,POINT Z (410100.94781681406 5081028.851466924 0),,,,,,,
node,1.0,,POINT Z (410100.89314065856 5081028.26217947 0),,,,,,,
node,1.0,,POINT Z (410095.6527349156 5081029.463839865 0),,,,,,,
node,1.0,,POINT Z (410105.558535499 5081026.196939576 0),,,,,,,
node,1.0,,POINT Z (410105.79607301875 5081025.9065484395 0),,,,,,,
node,1.0,,POINT Z (410101.7223956816 5081025.949378095 0),,,,,,,
node,1.0,,POINT Z (410105.8188547499 5081027.628543575 0),,,,,,,
node,1.0,,POINT Z (410105.8285749553 5081027.098792381 0),,,,,,,
node,1.0,,POINT Z (410105.26480304135 5081026.7944284445 0),,,,,,,
node,1.0,,POINT Z (410105.59042992274 5081027.126130454 0),,,,,,,
node,1.0,,POINT Z (410100.7828327656 5081028.938209746 0),,,,,,,
node,1.0,,POINT Z (410107.6210301493 5081028.993574894 0),,,,,,,
node,1.0,,POINT Z (410106.4084130829 5081028.480243701 0),,,,,,,
node,1.0,,POINT Z (410107.5891350109 5081027.942238908 0),,,,,,,
node,1.0,,POINT Z (410104.5994171016 5081028.377938542 0),,,,,,,
node,1.0,,POINT Z (410100.2904139498 5081023.78338363 0),,,,,,,
node,1.0,,POINT Z (410100.2597224012 5081023.841757752 0),,,,,,,
node,1.0,,POINT Z (410100.32652165403 5081023.897724694 0),,,,,,,
node,1.0,,POINT Z (410109.7825275938 5081031.752053057 0),,,,,,,
node,1.0,,POINT Z (410110.32775392756 5081031.86759771 0),,,,,,,
node,1.0,,POINT Z (410108.84011651383 5081024.037040252 0),,,,,,,
node,1.0,,POINT Z (410102.2318048477 5081031.303414839 0),,,,,,,
node,1.0,,POINT Z (410102.4370169667 5081031.202313268 0),,,,,,,
node,1.0,,POINT Z (410101.4151689373 5081031.904006319 0),,,,,,,
node,1.0,,POINT Z (410101.87373678084 5081032.113431004 0),,,,,,,
node,1.0,,POINT Z (410106.12000279734 5081029.807352296 0),,,,,,,
node,1.0,,POINT Z (410106.2436716842 5081031.920254792 0),,,,,,,
node,1.0,,POINT Z (410108.73510327545 5081032.766378662 0),,,,,,,
node,1.0,,POINT Z (410106.87435291806 5081033.27670088 0),,,,,,,
node,1.0,,POINT Z (410107.58447110106 5081033.719622051 0),,,,,,,
node,1.0,,POINT Z (410107.5567885278 5081032.912013066 0),,,,,,,
node,1.0,,POINT Z (410107.3714356462 5081033.440990934 0),,,,,,,
node,1.0,,POINT Z (410105.24409007264 5081033.89414262 0),,,,,,,
node,1.0,,POINT Z (410105.6099814754 5081033.954322127 0),,,,,,,
node,1.0,,POINT Z (410103.35926791246 5081033.447610676 0),,,,,,,
node,1.0,,POINT Z (410104.65673808404 5081033.5053830035 0),,,,,,,
node,1.0,,POINT Z (410102.49629378144 5081033.5547301965 0),,,,,,,
node,1.0,,POINT Z (410103.8322788375 5081033.660044333 0),,,,,,,
node,1.0,,POINT Z (410102.5453400806 5081036.61786711 0),,,,,,,
node,1.0,,POINT Z (410103.39748190023 5081035.627312425 0),,,,,,,
node,1.0,,POINT Z (410103.77661279455 5081035.6790668005 0),,,,,,,
node,1.0,,POINT Z (410105.03195731126 5081035.001445552 0),,,,,,,
node,1.0,,POINT Z (410104.50237764925 5081034.8967332095 0),,,,,,,
node,1.0,,POINT Z (410105.74869524053 5081035.900226492 0),,,,,,,
node,1.0,,POINT Z (410105.7950334611 5081035.312272705 0),,,,,,,
node,1.0,,POINT Z (410106.57495987223 5081034.895830518 0),,,,,,,
node,1.0,,POINT Z (410106.90594716085 5081034.862129994 0),,,,,,,
node,1.0,,POINT Z (410107.3906930905 5081035.333937325 0),,,,,,,
node,1.0,,POINT Z (410107.5904890538 5081035.873145707 0),,,,,,,
node,1.0,,POINT Z (410109.2696363962 5081035.221647613 0),,,,,,,
node,1.0,,POINT Z (410103.58253388613 5081039.34399878 0),,,,,,,
