geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-15.504312658903261 15.104728896392826 0, -15.474489721247984 15.162304880231172 0)",45,fracture,1,1,0.0648,,,-9999
"LINESTRING Z (-14.504347519089958 17.035255573351904 0, -14.502910793202538 17.03802930769794 0)",46,fracture,1,1,0.0031,,,-9999
"LINESTRING Z (-14.411009197460883 17.21545397498934 0, -13.422960411828491 19.122975010329114 0)",47,fracture,1,1,2.1482,,,-9999
"LINESTRING Z (-26.684545841370674 -9.585777550637976 0, -25.75658010952308 -7.794252497104507 0)",48,fracture,1,1,2.0176,,,-9999
"LINESTRING Z (-25.75658010952308 -7.794252497104507 0, -25.215834895143782 -6.750293042685828 0)",49,fracture,0,1,1.1757,,,-9999
"LINESTRING Z (-25.215834895143782 -6.750293042685828 0, -24.702024933678622 -5.7583346253344 0)",50,fracture,1,1,1.1171,,,-9999
"LINESTRING Z (-20.427487053647376 2.494062463841245 0, -20.201051599858136 2.9312173872929534 0)",51,fracture,1,1,0.4923,,,-9999
"LINESTRING Z (-20.201051599858136 2.9312173872929534 0, -19.942998517993992 3.4294131130992023 0)",52,fracture,0,1,0.5611,,,-9999
"LINESTRING Z (-19.942998517993992 3.4294131130992023 0, -19.879532972307764 3.551939313400448 0)",53,fracture,1,1,0.138,,,-9999
"LINESTRING Z (-19.32874667376169 4.61528402444234 0, -19.176940830715875 4.908359470825323 0)",54,fracture,1,1,0.3301,,,-9999
"LINESTRING Z (-19.176940830715875 4.908359470825323 0, -18.728150523986137 5.7747913343042505 0)",55,fracture,0,1,0.9758,,,-9999
"LINESTRING Z (-18.728150523986137 5.7747913343042505 0, -18.428354033205142 6.353576633979284 0)",56,fracture,0,1,0.6518,,,-9999
"LINESTRING Z (-18.428354033205142 6.353576633979284 0, -18.416568024669925 6.3763306310799726 0, -18.352349796774163 6.500309955122157 0)",57,fracture,0,1,0.1652,,,-9999
"LINESTRING Z (-18.352349796774163 6.500309955122157 0, -18.279317713898113 6.64130525451072 0, -18.273095806300233 6.653317231849775 0, -18.272046980040926 6.65534208950978 0)",58,fracture,0,1,0.1746,,,-9999
"LINESTRING Z (-18.272046980040926 6.65534208950978 0, -18.022522481165243 7.137072584359121 0)",59,fracture,0,1,0.5425,,,-9999
"LINESTRING Z (-18.022522481165243 7.137072584359121 0, -17.060887644262753 8.993599009350348 0)",60,fracture,0,1,2.0908,,,-9999
"LINESTRING Z (-17.060887644262753 8.993599009350348 0, -17.032725534319187 9.04796860921026 0, -16.920281278332233 9.265052812659752 0)",61,fracture,1,1,0.3057,,,-9999
"LINESTRING Z (-15.4937008958507 12.019200307962706 0, -15.10744760919126 12.764898577102763 0)",62,fracture,1,1,0.8398,,,-9999
"LINESTRING Z (-14.39173341928965 14.14665208197112 0, -14.2644612450582 14.392362975087126 0)",63,fracture,1,1,0.2767,,,-9999
"LINESTRING Z (-14.2644612450582 14.392362975087126 0, -14.124625176622674 14.662329646691562 0)",64,fracture,0,1,0.304,,,-9999
"LINESTRING Z (-14.124625176622674 14.662329646691562 0, -13.94007018662261 15.018630398963344 0)",65,fracture,0,1,0.4013,,,-9999
"LINESTRING Z (-13.94007018662261 15.018630398963344 0, -13.86107334289993 15.171141229721576 0)",66,fracture,0,1,0.1718,,,-9999
"LINESTRING Z (-13.86107334289993 15.171141229721576 0, -13.778408931156832 15.330732645213294 0)",67,fracture,1,1,0.1797,,,-9999
