,dist_name,AIC,delta_i,w_i,KS,KG,AD,AIC rank,KS rank,KG rank,AD rank
0,gengamma,1647.3841189469333,0.0,0.9211874192,0.038903827250792666,0.19894336905406362,4.249870349159437,1.0,2.0,2.0,2.0
1,lognorm,1652.3013006909832,4.917181744049913,0.0788125808,0.027760883761452027,0.15244095869138619,1.4708715113310973,2.0,1.0,1.0,1.0
2,gamma,1709.7123887013504,62.32826975441708,0.0,0.06528880231559331,1.4045616481353704,23.533199645418108,3.0,5.0,5.0,5.0
3,expon,1712.7789277525812,65.39480880564793,0.0,0.06060481118580496,1.1796926994692285,19.664083291499765,4.0,3.0,3.0,3.0
4,weibull_min,1714.6159034269413,67.23178448000795,0.0,0.061991255121154776,1.2228214475591699,20.525744094040874,5.0,4.0,4.0,4.0
5,powerlaw,2340.227343119356,692.8432241724229,0.0,0.3133902673707055,38.097572451551514,180.72869689530808,6.0,8.0,8.0,8.0
6,logistic,2401.086109356824,753.7019904098909,0.0,0.13525981091747719,5.935216896203997,115.80230924697935,7.0,6.0,6.0,6.0
7,norm,2603.0699455825998,955.6858266356664,0.0,0.1722995969958978,11.559000578786481,136.26067688937405,8.0,7.0,7.0,7.0
