,ab,U-nodes,length
245,ab,0,0.252447704
246,ab,0,1.384909641
247,ab,0,2.325702421
248,ab,1,6.433684752
249,ab,0,5.540568537
250,ab,0,1.441064576
251,ab,0,0.628541723
252,ab,0,3.427950165
253,ab,0,0.436803716
254,ab,0,0.491101589
255,ab,0,0.529162408
256,ab,0,1.034299787
257,ab,0,0.424878976
258,ab,0,0.654767393
259,ab,0,0.782943822
260,ab,0,0.271047809
261,ab,0,0.352604554
262,ab,0,1.21141775
263,ab,0,0.840891575
264,ab,1,0.24503928
265,ab,1,1.991432501
266,ab,1,3.688090463
267,ab,0,0.692039423
268,ab,0,0.399068642
269,ab,0,0.61549742
270,ab,0,0.34736987
271,ab,0,0.394654616
272,ab,1,7.489451685
273,ab,1,6.195231169
274,ab,1,0.741835554
275,ab,0,0.196633428
276,ab,1,0.595551348
277,ab,0,0.242705721
278,ab,1,0.394037052
279,ab,1,0.715291259
280,ab,0,0.365060265
281,ab,1,0.643912755
282,ab,0,0.491193796
283,ab,1,0.829818642
284,ab,0,0.572704553
285,ab,1,0.898127315
286,ab,0,0.420760666
287,ab,1,0.535502644
288,ab,0,0.962775064
289,ab,0,0.700241956
290,ab,0,2.048298551
291,ab,0,0.360563119
292,ab,0,0.782574571
293,ab,0,0.921879978
294,ab,0,0.237533469
295,ab,0,0.879209068
296,ab,1,1.495569039
297,ab,1,0.262514427
298,ab,1,0.655485292
299,ab,1,0.561186468
300,ab,0,0.26856577
301,ab,0,0.129698913
302,ab,0,1.185331384
303,ab,0,0.232184381
304,ab,1,0.935751065
305,ab,0,1.04801649
306,ab,0,0.547450755
307,ab,1,0.511413645
308,ab,0,2.822902382
309,ab,0,1.213453706
310,ab,0,0.705771952
311,ab,0,0.192930051
312,ab,0,1.663696437
313,ab,0,1.491473205
314,ab,0,1.434971537
315,ab,0,0.564898242
316,ab,0,1.196305606
317,ab,0,0.958298464
318,ab,0,0.536265924
319,ab,0,0.633269788
320,ab,0,0.24045895
321,ab,1,4.908560428
322,ab,0,0.959432092
323,ab,0,0.534730771
324,ab,0,0.231573578
325,ab,0,0.420755179
326,ab,0,1.119725209
327,ab,0,0.720119675
328,ab,0,0.894928251
329,ab,0,0.520984146
330,ab,0,0.251038217
331,ab,0,2.176180304
332,ab,0,0.186742877
333,ab,0,0.138244136
334,ab,0,0.315078754
335,ab,0,1.263762734
336,ab,0,1.754423546
337,ab,0,0.92611222
338,ab,0,0.913586931
339,ab,0,0.76314404
340,ab,1,1.331925538
341,ab,0,0.473826073
342,ab,1,1.484072578
343,ab,0,0.116962326
344,ab,1,0.624760958
345,ab,1,0.28583486
346,ab,0,0.566371138
347,ab,0,0.313149957
348,ab,1,0.818892247
349,ab,1,0.562078788
350,ab,1,2.044456662
351,ab,1,3.16878119
352,ab,0,2.619673621
353,ab,0,0.214772558
354,ab,1,0.836668697
355,ab,0,0.971554381
356,ab,0,0.518806892
357,ab,1,2.448776895
358,ab,0,0.780269555
359,ab,0,1.337679418
360,ab,0,0.383057091
361,ab,1,2.042341591
362,ab,1,6.585685278
363,ab,0,1.209464383
364,ab,0,0.792258966
365,ab,0,1.339751015
366,ab,0,0.580071088
367,ab,0,0.509961458
368,ab,0,0.298143029
369,ab,0,0.849941191
370,ab,0,1.247240548
371,ab,0,0.244133576
372,ab,1,0.462739709
373,ab,0,0.429992716
374,ab,1,0.4666681
375,ab,1,0.659866739
376,ab,0,2.719007085
377,ab,0,0.198885752
378,ab,1,2.728542531
379,ab,0,1.209090017
380,ab,1,0.930747588
381,ab,0,0.368661925
382,ab,1,1.396099522
383,ab,0,3.760600065
384,ab,0,0.782069392
385,ab,0,0.152885599
386,ab,0,0.595073213
387,ab,0,0.498148908
388,ab,0,0.322366687
389,ab,0,0.237353093
390,ab,0,0.896096612
391,ab,0,0.432559976
392,ab,0,3.706692426
393,ab,0,0.416565626
394,ab,0,0.328942295
395,ab,1,2.895324471
396,ab,1,1.617731136
397,ab,0,0.13684984
398,ab,1,3.244619301
399,ab,1,2.723509679
400,ab,0,0.817347531
401,ab,0,0.526116039
402,ab,1,0.985915635
403,ab,1,1.180524911
404,ab,0,0.525283865
405,ab,1,0.350391673
406,ab,1,4.8650755
407,ab,1,2.843846592
408,ab,0,0.857617862
409,ab,1,0.980897091
410,ab,1,0.417953059
411,ab,0,0.264233774
412,ab,1,2.567280926
413,ab,1,2.138379844
414,ab,1,0.559554946
415,ab,1,0.576516747
416,ab,0,0.777887069
417,ab,0,0.351819095
418,ab,1,2.607243467
419,ab,0,0.215372022
420,ab,0,2.291588892
421,ab,0,0.479931096
422,ab,1,1.864882033
423,ab,0,1.832768278
424,ab,1,2.687079399
425,ab,1,1.722322402
426,ab,1,2.54837982
427,ab,1,1.054859004
428,ab,0,0.652962204
429,ab,1,1.107414515
430,ab,0,0.828935794
431,ab,0,1.145536317
432,ab,0,0.722974146
433,ab,1,2.324360062
434,ab,0,2.576050614
435,ab,0,0.582238733
436,ab,1,0.893345092
437,ab,1,1.142524068
438,ab,1,0.377515562
439,ab,0,0.221096767
440,ab,0,0.322960297
441,ab,0,0.326366884
442,ab,0,0.322862721
443,ab,0,0.852155256
444,ab,0,0.826953026
445,ab,0,1.032721454
446,ab,0,0.263729021
447,ab,0,0.913974041
448,ab,0,0.233085297
449,ab,0,2.333529505
450,ab,1,0.556907239
451,ab,0,0.197456626
452,ab,0,0.516163423
453,ab,1,0.918988007
454,ab,1,0.366807013
455,ab,0,0.800080858
456,ab,0,0.184571754
457,ab,0,0.310268532
458,ab,0,0.516869051
459,ab,1,1.240806185
460,ab,0,0.65471589
461,ab,1,1.210321954
462,ab,1,0.524373147
463,ab,0,1.395478023
464,ab,0,0.945877236
465,ab,0,0.318320978
466,ab,0,1.993623152
467,ab,0,1.435514049
468,ab,0,1.557584834
469,ab,0,3.273441356
470,ab,0,1.900609332
471,ab,0,1.158594259
472,ab,0,1.836646493
473,ab,1,14.48255597
474,ab,0,1.234971461
475,ab,0,0.97461706
476,ab,1,3.395829785
477,ab,0,0.724310623
478,ab,1,2.14309471
479,ab,0,2.309633618
480,ab,0,0.757188184
481,ab,0,0.359071735
482,ab,0,1.069808685
483,ab,0,0.889690722
484,ab,0,3.580225651
485,ab,0,1.624942831
486,ab,0,1.881003052
487,ab,0,0.550876696
488,ab,1,3.915801352
489,ab,0,0.710526179
490,ab,0,1.808163678
491,ab,0,1.430808498
492,ab,0,0.850096357
493,ab,0,1.187948739
494,ab,0,0.316145802
495,ab,0,4.031253685
496,ab,0,0.584553779
497,ab,0,0.418071174
498,ab,1,0.853297462
499,ab,1,1.656482824
500,ab,1,3.578170876
501,ab,0,0.576971625
502,ab,0,1.934796382
503,ab,0,0.633281516
504,ab,0,1.367513278
505,ab,1,1.119888607
506,ab,0,0.609159269
507,ab,0,1.254370125
508,ab,1,0.647244927
509,ab,0,1.313038481
510,ab,0,0.212683408
511,ab,0,0.883071445
512,ab,0,1.291627815
513,ab,0,2.985740158
514,ab,0,1.383289263
515,ab,0,0.563264683
516,ab,0,0.404606798
517,ab,0,0.563019937
518,ab,0,1.198240046
519,ab,1,0.72483685
520,ab,0,0.744699113
521,ab,0,0.348718406
522,ab,0,1.16524596
523,ab,1,1.600611266
524,ab,0,0.404507464
525,ab,0,0.405363731
526,ab,0,1.273327873
527,ab,0,0.298502807
528,ab,1,0.189454086
529,ab,1,1.066640478
530,ab,0,1.119480497
531,ab,0,2.856121032
532,ab,0,0.412109424
533,ab,0,0.384846579
534,ab,0,0.975876801
535,ab,0,1.300722697
536,ab,0,0.716255598
537,ab,0,0.338788233
538,ab,0,1.020533827
