geometry,original_line_id,type,censored,f_set,length,id,Area,b_group
"LINESTRING Z (-15.438474889480288 -17.436014995352927 0, -16.70217800544035 -15.373138277874286 0, -16.70217800544035 -15.373138277874286 0, -16.70217800544035 -15.373138277874284 0)",37,fracture,1,2,2.4192,,,-9999
"LINESTRING Z (-17.557905930422702 -13.976242764483619 0, -20.728530204373474 -8.800496252505882 0, -20.728530204373474 -8.800496252505882 0, -20.728530204373477 -8.800496252505878 0)",38,fracture,1,2,6.0697,,,-9999
"LINESTRING Z (-21.80368147982991 -7.045412715957382 0, -21.80368147982991 -7.045412715957381 0, -21.80368147982991 -7.045412715957381 0, -22.183704307531137 -6.4250611211291195 0)",39,fracture,1,2,0.7275,,,-9999
"LINESTRING Z (-22.749021979136923 -5.502233086595995 0, -23.128802581683303 -4.8822769015962155 0)",40,fracture,1,2,0.727,,,-9999
"LINESTRING Z (-14.850511819290187 -17.042226149303932 0, -16.70168121245683 -14.020365877659854 0, -16.70168121245683 -14.020365877659854 0, -16.70168121245683 -14.020365877659852 0)",41,fracture,1,2,3.5438,,,-9999
"LINESTRING Z (-16.92931444536171 -13.648775992066255 0, -19.433035652609238 -9.56168613665778 0, -19.433035652609238 -9.56168613665778 0, -19.433035652609238 -9.561686136657778 0)",42,fracture,1,2,4.793,,,-9999
"LINESTRING Z (-19.56779181981435 -9.341709342778547 0, -19.886341078120413 -8.821707579682132 0, -19.886341078120413 -8.821707579682132 0, -19.886341078120413 -8.82170757968213 0)",43,fracture,1,2,0.6098,,,-9999
"LINESTRING Z (-21.282365892748437 -6.5428281096962335 0, -21.315538402606677 -6.488677101138416 0)",44,fracture,1,2,0.0635,,,-9999
"LINESTRING Z (-21.315538402606677 -6.488677101138416 0, -21.419056987115017 -6.319692728850654 0)",45,fracture,0,2,0.1982,,,-9999
"LINESTRING Z (-21.419056987115017 -6.319692728850654 0, -21.432081985656325 -6.298430641342349 0)",46,fracture,0,2,0.0249,,,-9999
"LINESTRING Z (-21.432081985656325 -6.298430641342349 0, -21.511637085803628 -6.168564407906759 0)",47,fracture,0,2,0.1523,,,-9999
"LINESTRING Z (-21.511637085803628 -6.168564407906759 0, -21.896706861583652 -5.539974144078969 0)",48,fracture,0,2,0.7372,,,-9999
"LINESTRING Z (-21.896706861583652 -5.539974144078969 0, -22.621128701091987 -4.357423489988455 0, -22.621128701091987 -4.357423489988455 0, -22.621128701091987 -4.357423489988454 0)",49,fracture,1,2,1.3868,,,-9999
