id,length,azimuth
,0.837,"115"
,0.972,"101"
,0.519,"104"
,2.450,"100"
,0.781,"92"
,1.338,"117"
,0.383,"146"
,2.043,"100"
,6.588,"112"
,1.210,"96"
,0.792,"97"
,1.340,"101"
,0.580,"130"
,0.510,"109"
,0.298,"113"
,0.850,"105"
,1.248,"103"
,0.244,"108"
,0.463,"115"
,0.430,"112"
,0.467,"109"
,0.660,"93"
,2.720,"99"
,0.199,"176"
,2.729,"102"
,1.209,"120"
,0.931,"128"
,0.369,"117"
,1.397,"100"
,3.762,"139"
,0.782,"108"
,0.153,"131"
,0.595,"112"
,0.498,"124"
,0.322,"108"
,0.237,"112"
,0.896,"96"
,0.433,"138"
,3.708,"115"
,0.417,"107"
,0.329,"138"
,2.896,"96"
,1.618,"98"
,0.137,"141"
,3.246,"134"
,2.724,"129"
,0.818,"124"
,0.526,"115"
,0.986,"142"
,1.181,"140"
,0.525,"154"
,0.350,"173"
,4.867,"104"
,2.845,"154"
,0.858,"107"
,0.981,"96"
,0.418,"157"
,0.264,"120"
,2.568,"115"
,2.139,"96"
,0.560,"148"
,0.577,"115"
,0.778,"119"
,0.352,"113"
,2.608,"99"
,0.215,"118"
,2.292,"102"
,0.480,"163"
,1.865,"125"
,1.833,"94"
,2.688,"97"
,1.723,"94"
,2.549,"105"
,1.055,"96"
,0.653,"108"
,1.108,"112"
,0.829,"113"
,1.146,"116"
,0.723,"142"
,2.325,"100"
,2.577,"91"
,0.582,"102"
,0.894,"156"
,1.143,"162"
,0.378,"139"
,0.221,"135"
,0.323,"124"
,0.326,"136"
,0.323,"145"
,0.852,"106"
,0.827,"103"
,1.033,"105"
,0.264,"148"
,0.914,"120"
,0.233,"137"
,2.334,"119"
,0.557,"177"
,0.198,"111"
,0.516,"100"
,0.919,"108"
,0.367,"113"
,0.800,"107"
,0.185,"99"
,0.310,"110"
,0.517,"130"
,1.241,"150"
,0.655,"163"
,1.211,"149"
,0.525,"113"
,1.396,"117"
,0.946,"135"
,0.318,"126"
,1.994,"91"
,1.436,"136"
,1.558,"106"
,3.274,"125"
,1.901,"105"
,1.159,"125"
,1.837,"98"
,14.487,"114"
,1.235,"142"
,0.975,"92"
,3.397,"143"
,0.725,"130"
,2.144,"152"
,2.310,"108"
,0.757,"110"
,0.359,"113"
,1.070,"115"
,0.890,"120"
,3.581,"100"
,1.625,"114"
,1.882,"101"
,0.551,"103"
,3.917,"103"
,0.711,"112"
,1.809,"98"
,1.431,"118"
,0.850,"114"
,1.188,"97"
,0.316,"121"
,4.032,"112"
,0.585,"118"
,0.418,"127"
,0.854,"125"
,1.657,"110"
,3.579,"109"
,0.577,"111"
,1.935,"114"
,0.633,"112"
,1.368,"93"
,1.120,"99"
,0.609,"113"
,1.255,"94"
,0.647,"109"
,1.313,"109"
,0.213,"107"
,0.883,"115"
,1.292,"108"
,2.987,"102"
,1.384,"102"
,0.563,"124"
,0.405,"111"
,0.563,"122"
,1.199,"94"
,0.725,"102"
,0.745,"110"
,0.349,"125"
,1.166,"113"
,1.601,"92"
,0.405,"122"
,0.405,"98"
,1.274,"137"
,0.299,"94"
,0.190,"111"
,1.067,"107"
,1.120,"109"
,2.857,"102"
,0.412,"116"
,0.385,"129"
,0.976,"100"
,1.301,"118"
,0.716,"132"
,0.339,"115"
,1.021,"125"
,0.156,"162"
,1.265,"106"
,0.662,"102"
,1.078,"115"
,1.500,"94"
,0.938,"99"
,1.624,"93"
,1.654,"111"
,1.401,"114"
,1.002,"117"
,0.622,"126"
,0.254,"128"
,0.856,"117"
,0.769,"110"
,1.861,"122"
,1.218,"122"
,1.440,"99"
,0.183,"146"
,0.901,"105"
,0.097,"154"
,1.218,"110"
,1.218,"119"
,0.622,"173"
,0.253,"111"
,0.565,"107"
,0.510,"137"
,0.740,"158"
,1.809,"101"
,0.560,"167"
,2.143,"146"
,0.482,"155"
,0.113,"91"
,0.444,"96"
,2.073,"107"
,0.250,"129"
,1.359,"102"
,1.950,"112"
,0.478,"116"
,1.135,"151"
,2.702,"101"
,3.701,"98"
,0.396,"154"
,0.350,"94"
,0.272,"113"
,0.218,"163"
,0.861,"107"
,0.427,"141"
,0.516,"102"
,0.831,"93"
,1.117,"92"
,0.873,"92"
,0.739,"94"
,0.528,"101"
,0.377,"91"
,0.322,"97"
,0.247,"101"
,1.894,"123"
,1.500,"107"
,0.213,"91"
,0.229,"132"
,0.098,"91"
,0.502,"98"
,1.244,"99"
,0.556,"105"
,0.960,"107"
,0.315,"110"
,0.197,"122"
,0.652,"120"
,0.115,"91"
,0.581,"98"
,1.277,"111"
,0.969,"114"
,0.969,"113"
,1.107,"106"
,0.444,"156"
,0.413,"160"
,1.326,"94"
,0.724,"106"
,0.711,"116"
,0.933,"107"
,1.749,"105"
,0.906,"107"
,0.191,"112"
,0.093,"112"
,2.041,"111"
,0.359,"106"
,0.558,"110"
,1.195,"107"
,0.593,"100"
,0.292,"151"
,0.593,"94"
,0.437,"118"
,1.538,"125"
,2.888,"122"
,3.931,"126"
,0.588,"120"
,1.092,"110"
,4.656,"107"
,1.013,"104"
,3.413,"94"
,0.242,"130"
,0.320,"169"
,0.314,"95"
,2.083,"92"
,0.504,"142"
,0.970,"107"
,0.906,"120"
,1.885,"130"
,0.947,"130"
,0.389,"131"
,0.468,"130"
,0.703,"124"
,0.185,"145"
,0.571,"106"
,0.695,"91"
,2.268,"127"
,1.526,"133"
,0.763,"125"
,0.627,"143"
,0.835,"120"
,1.067,"92"
,1.403,"110"
,1.816,"111"
,0.519,"129"
,0.602,"114"
,0.577,"122"
,0.334,"121"
,6.216,"127"
,7.174,"91"
,12.015,"130"
,1.129,"134"
,0.910,"131"
,2.840,"100"
,1.209,"94"
,1.736,"93"
,1.657,"94"
,0.682,"129"
,0.271,"111"
,0.582,"140"
,0.407,"179"
,0.778,"109"
,0.845,"101"
,1.214,"132"
,0.528,"138"
,0.648,"135"
,0.404,"157"
,0.541,"154"
,11.795,"129"
,0.461,"151"
,0.318,"146"
,1.295,"137"
,0.282,"99"
,1.341,"118"
,0.365,"162"
,0.285,"125"
,0.325,"115"
,0.271,"134"
,5.083,"91"
,5.303,"91"
,3.303,"98"
,1.695,"99"
,2.625,"93"
,0.905,"171"
,4.628,"91"
,0.658,"92"
,2.347,"129"
,2.337,"96"
,1.147,"95"
,0.538,"119"
,0.262,"137"
,1.095,"136"
,0.493,"97"
,0.512,"162"
,0.299,"167"
,1.115,"95"
,0.573,"96"
,0.243,"110"
,0.325,"171"
,0.277,"173"
,0.520,"91"
,0.436,"167"
,0.416,"106"
,0.784,"111"
,0.835,"138"
,1.356,"97"
,0.139,"140"
,0.183,"164"
,0.931,"128"
,0.931,"92"
,0.517,"127"
,0.513,"125"
,0.195,"94"
,0.615,"97"
,0.384,"128"
,0.939,"115"
,0.331,"161"
,0.451,"99"
,1.408,"122"
,0.358,"136"
,0.152,"172"
,0.399,"106"
,0.269,"129"
,9.151,"116"
,3.466,"113"
,1.307,"109"
,1.677,"116"
,4.747,"110"
,11.275,"115"
,3.364,"133"
,2.980,"112"
,0.426,"91"
,0.473,"110"
,0.395,"133"
,0.200,"108"
,1.106,"115"
,0.846,"131"
,1.047,"123"
,0.942,"151"
,1.157,"107"
,1.184,"133"
,0.455,"129"
,1.212,"121"
,0.800,"119"
,1.104,"105"
,9.460,"123"
,0.994,"106"
,1.361,"114"
,0.678,"110"
,1.448,"100"
,0.419,"136"
,0.976,"118"
,1.744,"119"
,3.868,"111"
,1.307,"113"
,0.292,"113"
,1.084,"137"
,0.756,"109"
,1.341,"110"
,5.379,"114"
,4.330,"135"
,4.195,"123"
,1.396,"94"
,1.284,"94"
,2.351,"103"
,1.553,"99"
,0.426,"100"
,1.087,"93"
,4.218,"142"
,2.921,"109"
,3.880,"126"
,0.601,"109"
,0.937,"100"
,0.516,"93"
,0.590,"172"
,9.083,"115"
,2.797,"121"
,8.794,"115"
,7.295,"99"
,2.115,"108"
,0.688,"140"
,0.525,"93"
,0.555,"100"
,2.186,"109"
,0.468,"97"
,1.314,"129"
,0.256,"111"
,1.877,"125"
,4.298,"121"
,0.764,"110"
,0.590,"127"
,0.549,"130"
,0.173,"132"
,3.952,"120"
,0.953,"116"
,0.892,"112"
,3.007,"126"
,3.089,"131"
,0.511,"126"
,1.474,"129"
,1.348,"120"
,0.527,"114"
,3.240,"107"
,1.166,"128"
,1.914,"136"
,1.733,"117"
,4.056,"105"
,0.371,"116"
,1.876,"110"
,0.312,"115"
,0.318,"110"
,2.595,"114"
,0.614,"105"
,0.929,"93"
,5.922,"119"
,5.556,"127"
,2.455,"100"
,2.132,"103"
,3.282,"91"
,1.978,"106"
,1.394,"92"
,4.359,"91"
,1.967,"117"
,2.807,"94"
,0.496,"110"
,0.746,"107"
,1.210,"119"
,1.523,"100"
,0.865,"126"
,1.808,"121"
,0.588,"101"
,0.579,"131"
,0.828,"134"
,4.843,"126"
,1.056,"104"
,1.094,"108"
,3.180,"102"
,2.149,"129"
,0.475,"128"
,1.059,"100"
,0.343,"129"
,2.913,"127"
,1.009,"108"
,1.368,"105"
,1.621,"98"
,1.131,"106"
,0.679,"119"
,1.869,"98"
,1.390,"135"
,1.061,"128"
,0.605,"118"
,1.532,"140"
,3.078,"113"
,0.493,"121"
,0.917,"134"
,1.751,"93"
,0.905,"94"
,0.854,"138"
,0.233,"119"
,1.401,"138"
,0.746,"116"
,0.352,"109"
,2.122,"99"
,0.700,"106"
,0.658,"97"
,0.927,"95"
,1.020,"105"
,1.632,"92"
,7.497,"95"
,1.951,"104"
,1.940,"103"
,1.238,"102"
,1.977,"94"
,1.432,"97"
,1.745,"104"
,1.161,"145"
,1.791,"103"
,1.717,"111"
,1.087,"96"
,0.516,"132"
,2.192,"101"
,0.934,"147"
,1.497,"109"
,0.247,"120"
,0.667,"148"
,0.384,"149"
,2.048,"141"
,0.773,"141"
,1.099,"103"
,11.865,"114"
,0.571,"110"
,0.935,"111"
,1.653,"105"
,0.637,"104"
,3.147,"104"
,0.442,"99"
,0.565,"139"
,1.036,"135"
,0.216,"135"
,1.674,"116"
,0.491,"115"
,1.583,"113"
,1.471,"103"
,1.196,"112"
,0.435,"172"
,0.482,"126"
,0.488,"106"
,1.189,"134"
,0.523,"155"
,0.484,"98"
,1.034,"130"
,0.559,"98"
,0.657,"128"
,0.736,"136"
,1.470,"146"
,1.349,"153"
,0.903,"155"
,0.417,"134"
,1.364,"130"
,1.370,"155"
,0.538,"133"
,1.812,"108"
,2.165,"152"
,1.486,"115"
,0.333,"116"
,2.515,"91"
,0.341,"147"
,2.044,"95"
,1.856,"113"
,1.126,"99"
,0.752,"128"
,0.420,"92"
,0.575,"141"
,0.522,"148"
,0.865,"98"
,0.311,"108"
,0.905,"95"
,4.661,"103"
,0.889,"105"
,0.287,"109"
,1.003,"99"
,0.244,"98"
,0.287,"98"
,1.555,"92"
,1.298,"94"
,4.537,"93"
,5.372,"93"
,2.113,"92"
,0.658,"98"
,1.021,"92"
,1.072,"95"
,1.396,"91"
,0.696,"125"
,0.635,"93"
,0.140,"178"
,2.136,"160"
,0.330,"169"
,1.056,"104"
,0.522,"109"
,0.705,"131"
,0.343,"91"
,1.289,"146"
,0.480,"95"
,0.393,"98"
,0.578,"101"
,1.369,"92"
,0.671,"102"
,2.305,"93"
,0.419,"91"
,1.092,"95"
,0.356,"95"
,0.296,"143"
,0.139,"172"
,0.261,"169"
,1.078,"133"
,0.727,"133"
,0.552,"126"
,2.025,"117"
,0.405,"145"
,1.448,"142"
,0.391,"99"
,0.430,"104"
,0.726,"91"
,0.911,"113"
,0.538,"127"
,0.242,"136"
,0.650,"103"
,2.048,"94"
,1.311,"101"
,1.528,"99"
,0.968,"117"
,0.576,"111"
,1.506,"100"
,0.949,"111"
,1.481,"142"
,0.608,"137"
,1.328,"110"
,2.988,"117"
,2.161,"142"
,1.659,"130"
,0.460,"147"
,0.482,"119"
,0.691,"123"
,0.638,"91"
,0.262,"157"
,0.282,"155"
,0.340,"101"
,0.669,"103"
