,abc,U-nodes,length
245,abc,1,0.92443234
246,abc,0,0.644355702
247,abc,0,1.683414057
248,abc,0,1.169871908
249,abc,0,3.141884986
250,abc,0,0.313946299
251,abc,0,0.285226992
252,abc,0,0.410430087
253,abc,1,0.490764148
254,abc,0,0.422591682
255,abc,0,0.241774891
256,abc,1,1.946584904
257,abc,0,0.324192805
258,abc,0,0.75657064
259,abc,0,0.990881581
260,abc,0,0.499536242
261,abc,0,0.626652956
262,abc,1,10.66515059
263,abc,0,0.602705699
264,abc,0,1.08342355
265,abc,0,0.276663982
266,abc,0,0.489317823
267,abc,1,0.35100684
268,abc,1,3.105470582
269,abc,0,1.140996764
270,abc,0,2.107907104
271,abc,1,0.421862514
272,abc,0,0.127459924
273,abc,1,0.406850971
274,abc,1,1.068912809
275,abc,0,2.601388853
276,abc,0,0.879829168
277,abc,0,0.434913422
278,abc,0,0.73657135
279,abc,0,0.711379383
280,abc,0,0.228225574
281,abc,0,0.525909996
282,abc,0,0.950725733
283,abc,0,0.793711572
284,abc,1,2.525819831
285,abc,0,0.362419189
286,abc,0,0.419140569
287,abc,0,4.481633883
288,abc,0,0.273122821
289,abc,0,0.542609926
290,abc,0,1.361782138
291,abc,0,1.144507795
292,abc,1,0.27104102
293,abc,0,4.24077412
294,abc,0,0.443804581
295,abc,0,2.912959172
296,abc,1,1.470236781
297,abc,1,1.08934829
298,abc,1,0.770218161
299,abc,1,0.460023233
300,abc,1,0.615524124
301,abc,1,1.101587448
302,abc,1,0.536685524
303,abc,1,1.333062167
304,abc,0,0.303397429
305,abc,0,0.390515505
306,abc,0,0.975810344
307,abc,0,0.119436168
308,abc,0,0.570908551
309,abc,0,0.585812352
310,abc,0,0.196533713
311,abc,1,0.336572038
312,abc,0,0.591099179
313,abc,0,0.781394099
314,abc,1,0.976254294
315,abc,0,0.310165232
316,abc,1,0.906162328
317,abc,0,0.431227408
318,abc,0,0.469824924
319,abc,0,0.183839283
320,abc,0,0.260553116
321,abc,0,0.620678648
322,abc,0,0.253527094
323,abc,0,0.326872155
324,abc,0,1.808373104
325,abc,0,1.71101964
326,abc,0,0.601050401
327,abc,0,0.349337526
328,abc,1,0.539232676
329,abc,0,0.290391137
330,abc,0,0.217508252
331,abc,0,0.489036201
332,abc,0,2.339528985
333,abc,0,1.529819853
334,abc,0,0.366745821
335,abc,0,0.329359098
336,abc,0,1.502425788
337,abc,1,0.736954037
338,abc,0,0.277840319
339,abc,0,0.225783273
340,abc,1,0.970156944
341,abc,0,0.718961583
342,abc,1,2.071151441
343,abc,0,0.303534839
344,abc,0,1.233483865
345,abc,0,0.753119918
346,abc,0,1.014811922
347,abc,0,0.832909047
348,abc,0,0.349402857
349,abc,0,0.744718777
350,abc,1,0.409792968
351,abc,1,0.244744377
352,abc,0,0.672439366
353,abc,0,0.432278216
354,abc,0,0.198680719
355,abc,0,0.461445908
356,abc,0,4.298948934
357,abc,0,0.572764374
358,abc,1,1.914613954
359,abc,0,0.546190115
360,abc,0,0.400302027
361,abc,0,0.391945377
362,abc,0,0.732566051
363,abc,0,1.654621671
364,abc,0,0.78318198
365,abc,0,0.382907925
366,abc,0,0.421807558
367,abc,0,0.360624422
368,abc,0,0.341788734
369,abc,0,0.9541842
370,abc,1,0.139689738
371,abc,0,1.309210549
372,abc,1,0.96806566
373,abc,0,0.946815263
374,abc,0,0.368105215
375,abc,1,0.546089339
376,abc,1,0.094524582
377,abc,1,0.252478422
378,abc,0,0.402804965
379,abc,1,0.250150247
380,abc,0,0.470224262
381,abc,1,0.184280624
382,abc,1,0.263419366
383,abc,0,0.423877445
384,abc,1,0.625110094
385,abc,1,0.980989819
386,abc,0,0.423780508
387,abc,0,0.3509095
388,abc,0,2.041690555
389,abc,0,1.190681302
390,abc,0,0.208262807
391,abc,0,4.098733997
392,abc,0,0.707583603
393,abc,0,0.284256829
394,abc,0,0.288961102
395,abc,0,0.982340864
396,abc,0,0.417890413
397,abc,0,1.449697691
398,abc,0,0.883719446
399,abc,0,0.652025032
400,abc,0,3.426548416
401,abc,0,0.332604158
402,abc,1,6.139338357
403,abc,0,1.508876984
404,abc,1,4.732166359
405,abc,1,3.765088868
406,abc,0,0.640496109
407,abc,0,0.318549219
408,abc,0,2.366918043
409,abc,0,0.56657437
410,abc,0,0.28287802
411,abc,0,2.282058989
412,abc,1,0.285429894
413,abc,1,3.478846593
414,abc,1,0.50501804
415,abc,0,0.318927638
416,abc,0,0.482112126
417,abc,0,0.292898742
418,abc,0,0.284705027
419,abc,0,0.235816714
420,abc,0,0.151232542
421,abc,0,0.146319619
422,abc,1,1.505015184
423,abc,0,0.710947761
424,abc,0,0.287249031
425,abc,1,0.909301008
426,abc,0,0.347902142
427,abc,1,0.472945249
428,abc,0,0.277644777
429,abc,0,0.31563518
430,abc,1,0.83295291
431,abc,1,0.763946971
432,abc,1,0.578329207
433,abc,1,3.822318717
434,abc,0,0.580036509
435,abc,0,2.620987279
436,abc,1,1.691071739
437,abc,1,0.478856879
438,abc,0,0.853623971
439,abc,0,1.373776266
440,abc,0,0.7989461
441,abc,0,0.347146261
442,abc,0,1.008038654
443,abc,0,0.588045574
444,abc,1,1.094923793
445,abc,1,0.161293333
446,abc,0,0.832614183
447,abc,1,0.534116944
448,abc,0,2.032755153
449,abc,0,1.078630511
450,abc,1,1.221133303
451,abc,0,1.427678482
452,abc,0,0.37855542
453,abc,1,0.952179827
454,abc,0,0.241531207
455,abc,1,0.406639181
456,abc,1,1.036453669
457,abc,0,0.608678593
458,abc,0,0.665047128
459,abc,1,0.220598408
460,abc,0,0.55389525
461,abc,1,0.502495732
462,abc,1,1.354819625
463,abc,1,1.055854209
464,abc,0,0.490383633
465,abc,0,0.611944412
466,abc,0,0.418283044
467,abc,1,0.405633811
468,abc,0,0.307639147
469,abc,1,0.444960572
470,abc,0,1.415286944
471,abc,0,0.351777013
472,abc,1,0.698099311
473,abc,0,1.285561682
474,abc,1,1.23039362
475,abc,1,0.404194823
476,abc,0,2.999924213
477,abc,0,1.14677699
478,abc,0,0.286055354
479,abc,1,1.62585443
480,abc,0,2.918983753
481,abc,0,0.871766696
482,abc,0,7.457711353
483,abc,0,1.625775626
484,abc,0,1.805638961
485,abc,0,0.27777592
486,abc,0,0.645172048
487,abc,0,0.077779924
488,abc,0,0.803583355
489,abc,0,1.602524506
490,abc,0,1.018792807
491,abc,0,1.880175704
492,abc,0,2.896872593
493,abc,0,0.633535191
494,abc,0,1.757781378
495,abc,0,1.635988441
496,abc,0,0.648605989
497,abc,1,1.550967388
498,abc,0,1.60884754
499,abc,0,1.884009785
500,abc,0,0.159494017
501,abc,0,0.913697444
502,abc,0,0.80003077
