id,length,azimuth,geometry,type,censored,f_set
,3.766,84,"LINESTRING (410135.3283357769 5081043.947022075, 410135.43433285214 5081043.964503634, 410135.55695755524 5081043.981130713, 410135.73154187825 5081044.042443064, 410135.9019694317 5081044.067383681, 410136.20541361225 5081044.082971567, 410136.3005809301 5081044.093797479, 410136.3005809302 5081044.093797479, 410136.59822833905 5081044.127656841, 410136.6881184818 5081044.166106967, 410136.68811848224 5081044.166106967, 410136.6881184823 5081044.166106967, 410136.9086870684 5081044.19936112, 410136.90868706885 5081044.19936112, 410136.90868706885 5081044.19936112, 410137.1292556549 5081044.232615273, 410137.45694550395 5081044.25321292, 410137.45694550406 5081044.25321292, 410137.4929729945 5081044.255477506, 410137.850455179 5081044.2700261995, 410137.85045517905 5081044.2700261995, 410137.8504551798 5081044.2700261995, 410138.095704586 5081044.3240642045, 410138.35758107057 5081044.357318361, 410138.775336415 5081044.336534513, 410139.05176159303 5081044.365631901)",fracture,0,1
,0.641,51,"LINESTRING (410133.22604900406 5081044.195204335, 410133.39439817274 5081044.349004811, 410133.6255272126 5081044.519367544, 410133.6255272126 5081044.519367544, 410133.62552721275 5081044.519367544, 410133.726420145 5081044.593734641)",fracture,0,1
,0.319,80,"LINESTRING (410133.49675862404 5081044.233134859, 410133.6318536359 5081044.237811225, 410133.7305769138 5081044.267947804, 410133.8085163434 5081044.286653267, 410133.8085163434 5081044.286653267, 410133.8085163435 5081044.286653267, 410133.8085163438 5081044.286653267)",fracture,0,1
,2.283,71,"LINESTRING (410137.45694550365 5081044.25321292, 410137.45694550406 5081044.25321292, 410137.6343031597 5081044.37498461, 410137.8109658676 5081044.466433541, 410138.18507513124 5081044.589058244, 410138.81898249465 5081044.817680571, 410138.95325521333 5081044.872792046, 410138.9532552135 5081044.872792046, 410138.9532552138 5081044.872792046, 410139.06468734663 5081044.878606633, 410139.0646873469 5081044.878606633, 410139.22946349235 5081044.91640385, 410139.2294634925 5081044.91640385, 410139.2294634926 5081044.91640385, 410139.43782157014 5081044.953814813, 410139.4378215705 5081044.953814813, 410139.43782157055 5081044.953814813, 410139.43782157055 5081044.953814813, 410139.5962984093 5081044.991745298)",fracture,0,1
,0.286,62,"LINESTRING (410136.0123952441 5081043.639620572, 410136.26377815567 5081043.774812495)",fracture,0,1
,3.48,72,"LINESTRING (410136.89959065866 5081043.025780112, 410137.2789141033 5081043.0252219755, 410137.27891410363 5081043.0252219755, 410137.379701022 5081043.025073677, 410137.5275261407 5081043.052612276, 410137.6753512596 5081043.080150874, 410137.845778813 5081043.095738761, 410138.2541814258 5081043.162247075, 410138.265501576 5081043.170007429, 410138.265501576 5081043.170007429, 410138.4194130172 5081043.275519046, 410138.6033500719 5081043.286950163, 410138.98019025585 5081043.322253272, 410138.98019025644 5081043.322253272, 410139.0803393831 5081043.331635434, 410139.2103785304 5081043.371682711, 410139.21037853067 5081043.371682711, 410139.5417408083 5081043.501023795, 410139.79946052324 5081043.580002419, 410139.9148108795 5081043.753547549, 410139.95533938304 5081043.910465602, 410139.98938332533 5081044.02303092, 410139.9893833254 5081044.02303092)",fracture,0,1
,0.505,41,"LINESTRING (410131.92582215613 5081045.364236966, 410131.6605056536 5081045.083713822, 410131.5919872076 5081044.986539962, 410131.5919872076 5081044.986539962, 410131.59198720753 5081044.986539962)",fracture,0,1
,0.319,20,"LINESTRING (410131.74005818873 5081044.972161537, 410131.7400581886 5081044.972161537, 410131.7400581886 5081044.972161537, 410131.692720618 5081044.865483417, 410131.64387857524 5081044.786504795, 410131.6344778033 5081044.67755231)",fracture,0,1
,0.482,86,"LINESTRING (410131.66174294875 5081044.68560202, 410131.6617429488 5081044.68560202, 410131.6617429488 5081044.68560202, 410131.73324912164 5081044.625429974, 410131.88393201947 5081044.63270432, 410132.1076096156 5081044.713430085)",fracture,0,1
,0.293,64,"LINESTRING (410136.38361110265 5081043.337923706, 410136.49846586736 5081043.3576152455, 410136.6003067225 5081043.395545768, 410136.6292547035 5081043.45673696, 410136.6292547035 5081043.45673696, 410136.62925470376 5081043.45673696, 410136.629254704 5081043.45673696)",fracture,0,1
,0.711,75,"LINESTRING (410136.9770139663 5081045.578888993, 410137.10379543895 5081045.5913593015, 410137.1931659853 5081045.599672841, 410137.33865292114 5081045.65578923, 410137.6608025649 5081045.757630086)",fracture,0,1
,0.287,51,"LINESTRING (410137.6441754864 5081045.450029138, 410137.7460163415 5081045.496792795, 410137.79901515384 5081045.560183532, 410137.862835306 5081045.627219979, 410137.862835306 5081045.627219979, 410137.86283530603 5081045.627219979, 410137.8628353061 5081045.627219979)",fracture,0,1
,0.91,52,"LINESTRING (410141.4799062519 5081041.088189576, 410141.47990625206 5081041.088189576, 410141.584793063 5081041.154007759, 410141.7250840368 5081041.250652652, 410141.75418142404 5081041.314043389, 410141.78074808273 5081041.337409245, 410141.78074808285 5081041.337409245, 410141.78074808285 5081041.337409245, 410141.82096958277 5081041.372784781, 410141.8209695828 5081041.372784781, 410141.84043439315 5081041.389904434, 410141.85539653205 5081041.391101405, 410141.8553965321 5081041.391101405, 410141.91837382305 5081041.396139588, 410141.9744902126 5081041.424197783, 410142.01709710096 5081041.455373555, 410142.07321349054 5081041.476157403, 410142.1262123029 5081041.560331987, 410142.17379052937 5081041.6214628685)",fracture,0,1
,0.348,55,"LINESTRING (410141.6633905063 5081040.960306611, 410141.7178096902 5081040.9825410135, 410141.9474712104 5081041.158164529)",fracture,0,1
,0.473,42,"LINESTRING (410142.03216539085 5081041.068793981, 410142.1116636094 5081041.135302295, 410142.1984361747 5081041.190379493, 410142.26494448824 5081041.255848614, 410142.3236588588 5081041.336386025, 410142.3420060693 5081041.40758629)",fracture,0,1
,0.278,51,"LINESTRING (410141.1692305551 5081041.330197702, 410141.1692305554 5081041.330197702, 410141.1692305554 5081041.330197702, 410141.28888302663 5081041.402634533, 410141.37305761094 5081041.472260424, 410141.37825357297 5081041.5003186185)",fracture,0,1
,0.316,57,"LINESTRING (410141.2743343331 5081041.731019331, 410141.3553913402 5081041.782978951, 410141.43644834735 5081041.814154723, 410141.4873687749 5081041.882741421, 410141.53101485566 5081041.9004076915)",fracture,0,1
,0.833,55,"LINESTRING (410144.0554729915 5081038.444833172, 410144.3420302948 5081038.593697473, 410144.3898331452 5081038.641500324, 410144.4604982283 5081038.662284172, 410144.5186930027 5081038.664362556, 410144.59675295313 5081038.736976464, 410144.59675295313 5081038.736976464, 410144.608063549 5081038.747497949, 410144.7083341265 5081038.907095466)",fracture,0,1
,0.764,76,"LINESTRING (410143.90453029476 5081038.863887497, 410144.0811930026 5081038.8327117255, 410144.26097328763 5081038.852456381, 410144.324364024 5081038.891945692, 410144.4553022663 5081038.904416001, 410144.5270065418 5081038.93455258, 410144.59758830303 5081039.031226404)",fracture,0,1
,0.579,59,"LINESTRING (410144.0053319575 5081039.004178471, 410144.113407967 5081039.036393436, 410144.1504537768 5081039.084862146, 410144.150453777 5081039.084862146, 410144.15045377705 5081039.084862146, 410144.15045377705 5081039.084862146, 410144.1978423495 5081039.115372059, 410144.28591390536 5081039.1252443865, 410144.38411758706 5081039.128361964, 410144.4069798199 5081039.151743793, 410144.41996972484 5081039.1985074505, 410144.4493579148 5081039.272995956)",fracture,0,1
,3.823,88,"LINESTRING (410136.4866509246 5081039.328482013, 410136.77930761094 5081039.339318019, 410136.9424608176 5081039.35698429, 410137.0604091548 5081039.363219446, 410137.13523100753 5081039.3808857165, 410137.1767987035 5081039.393356025, 410137.2672084422 5081039.3808857165, 410137.3607357581 5081039.39959118, 410137.5134970408 5081039.422453413, 410137.69119894103 5081039.440119684, 410137.8491561857 5081039.468177878, 410138.0517987035 5081039.480648188, 410138.2147659258 5081039.483564443, 410138.73370951245 5081039.492850802, 410139.0390314824 5081039.498314458, 410139.34174023656 5081039.485635557, 410139.3417402366 5081039.485635557, 410139.4360029788 5081039.48168738, 410139.65335963183 5081039.5135413725, 410139.65335963183 5081039.5135413725, 410139.6770956154 5081039.517019922, 410139.96806948713 5081039.479608995, 410140.27567043726 5081039.452589993, 410140.2889201403 5081039.451550799)",fracture,0,1
,0.58,87,"LINESTRING (410137.97256028187 5081039.579891065, 410138.1294783341 5081039.566381564, 410138.25729899923 5081039.562224794, 410138.41941301344 5081039.594439759, 410138.54827287095 5081039.6058708755)",fracture,0,1
,2.622,90,"LINESTRING (410137.2438266112 5081040.65727379, 410137.3477458511 5081040.621941248, 410137.472448939 5081040.611549324, 410137.5784465637 5081040.636489942, 410137.71769834514 5081040.692606332, 410137.9234584402 5081040.688449562, 410138.15623753757 5081040.665587329, 410138.2061187727 5081040.684292792, 410138.3017244734 5081040.680136022, 410138.5576256019 5081040.7027384555, 410138.55762560194 5081040.7027384555, 410138.5576256023 5081040.7027384555, 410138.6136120923 5081040.680006123, 410138.6136120923 5081040.680006123, 410138.61361209233 5081040.680006123, 410138.66959858267 5081040.65727379, 410138.77351782256 5081040.634411557, 410138.9356318368 5081040.621941248, 410139.0894323119 5081040.599079016, 410139.22037055413 5081040.609470942, 410139.360661528 5081040.622980443, 410139.4972733935 5081040.636291342, 410139.4972733937 5081040.636291342, 410139.5633040458 5081040.642725098, 410139.63743950776 5081040.656453888, 410139.6474786302 5081040.658312985, 410139.7441235233 5081040.6718224855, 410139.8210237608 5081040.677018446)",fracture,0,1
,1.692,71,"LINESTRING (410136.06828642543 5081039.849955434, 410136.19684026897 5081039.860213217, 410136.35479751363 5081039.868526757, 410136.5231466823 5081039.889310605, 410136.58908284997 5081039.882877808, 410136.58908284997 5081039.882877808, 410136.58908285 5081039.882877808, 410136.6935742357 5081039.872683527, 410136.78917993646 5081039.893467374, 410136.90425090876 5081039.959571975, 410136.98454810743 5081040.005700153, 410137.07184026897 5081040.074286852, 410137.3430694851 5081040.2270481335, 410137.36593171797 5081040.240557635, 410137.3913729179 5081040.258370577, 410137.48128207424 5081040.303428776, 410137.6201268666 5081040.381799313)",fracture,0,1
,0.479,36,"LINESTRING (410136.6393485004 5081039.599660143, 410136.7829447818 5081039.680432933, 410136.8141205539 5081039.703295166, 410136.81412055396 5081039.703295166, 410136.81412055396 5081039.703295166, 410136.8286692474 5081039.760450748, 410136.8764720977 5081039.848782102, 410136.89569715713 5081039.885348687, 410136.9042509087 5081039.959571975)",fracture,0,1
,0.854,77,"LINESTRING (410140.4108303961 5081039.829102395, 410140.64776626305 5081039.829102395, 410140.71635296143 5081039.812475317, 410140.7994883533 5081039.872748476, 410140.978229446 5081039.951727099, 410141.2193220825 5081040.009921873)",fracture,0,1
,1.374,71,"LINESTRING (410140.9491320589 5081039.5277366, 410141.1486569995 5081039.496560827, 410141.2546546242 5081039.5277366, 410141.3731225577 5081039.579696219, 410141.50198241515 5081039.621263915, 410141.5477068807 5081039.677380305, 410141.5955097311 5081039.748045388, 410141.68695866223 5081039.800005008, 410141.8366023677 5081039.843651089, 410141.9342864532 5081039.8540430125, 410142.1983475417 5081039.945919191, 410142.1983475417 5081039.945919191, 410142.19834754174 5081039.945919191)",fracture,0,1
,0.799,68,"LINESTRING (410142.6201534365 5081038.276548951, 410142.77811068116 5081038.351370803, 410143.0961035553 5081038.501014509, 410143.36005842465 5081038.569601207)",fracture,0,1
,0.347,89,"LINESTRING (410136.3768154021 5081040.86342358, 410136.7239056634 5081040.869658735)",fracture,0,1
,1.008,90,"LINESTRING (410138.84548189794 5081041.088798424, 410138.98466872703 5081041.048399829, 410139.09794069856 5081041.032811943, 410139.2049775156 5081041.006832133, 410139.52504877455 5081041.002675364, 410139.71522098355 5081041.043203868, 410139.8305713399 5081041.0889283335)",fracture,0,1
,0.588,85,"LINESTRING (410141.52346963045 5081038.494879542, 410141.5234696305 5081038.494879542, 410141.5234696305 5081038.494879542, 410141.66578511626 5081038.478477026, 410141.74788131576 5081038.448340448, 410141.83621266973 5081038.461849948, 410141.9494846412 5081038.508613606, 410142.09081480745 5081038.542906956)",fracture,0,1
,1.095,79,"LINESTRING (410140.52818614425 5081037.923825387, 410140.63074948674 5081037.993174178, 410140.86768535373 5081038.116838073, 410140.97056540125 5081038.159444962, 410141.1181307219 5081038.15009223, 410141.3083029309 5081038.148013844, 410141.4340452112 5081038.164640923, 410141.5566699143 5081038.129308381)",fracture,0,1
,0.161,88,"LINESTRING (410137.02981088846 5081039.055295594, 410137.1910226458 5081039.060424769)",fracture,0,1
,0.833,90,"LINESTRING (410139.59674546355 5081041.51319949, 410139.5967454641 5081041.51319949, 410139.7775725269 5081041.53785945, 410139.9126675388 5081041.511879641, 410140.0427058534 5081041.509141992, 410140.0427058534 5081041.509141992, 410140.2088373725 5081041.505644486, 410140.4251372828 5081041.5074606165)",fracture,0,1
,0.534,78,"LINESTRING (410140.6732338052 5081037.888903966, 410140.73155114905 5081037.931861825, 410140.989270864 5081037.975507907, 410141.12436587585 5081037.992134985, 410141.1884291335 5081037.996035142)",fracture,0,1
,1.222,72,"LINESTRING (410128.98711825087 5081042.747479406, 410128.955526012 5081042.746576691, 410129.7228664694 5081042.959474656, 410130.08470097464 5081043.1133669475)",fracture,0,1
,1.428,80,"LINESTRING (410132.9834589638 5081045.128351051, 410133.1530026517 5081045.199760533, 410133.1530026517 5081045.199760533, 410133.1781811963 5081045.210365391, 410133.50240922475 5081045.305971093, 410133.7767560181 5081045.334029287, 410134.2641372532 5081045.364165868, 410134.3783344664 5081045.368228042)",fracture,0,1
,0.379,9,"LINESTRING (410138.0795321457 5081039.88242596, 410138.10694084724 5081039.948609524, 410138.10694084724 5081039.948609524, 410138.1069408473 5081039.948609524, 410138.1069408474 5081039.948609524, 410138.09304164693 5081040.0684414, 410138.1335701505 5081040.180674179, 410138.13892427686 5081040.2474191785)",fracture,0,1
,2.291,99,"LINESTRING (410131.31632093526 5081044.168156752, 410131.2022588428 5081044.19028734, 410131.0478870476 5081044.1767798085, 410131.0478870476 5081044.1767798085, 410131.0078547346 5081044.173276981, 410130.7502692912 5081044.147761442, 410130.4708133857 5081044.074859901, 410130.3262253302 5081044.055419491, 410130.03461916785 5081044.06149462, 410129.839000034 5081044.090655236, 410129.7320777745 5081044.095515339, 410129.62758556625 5081044.104020518, 410129.4562669459 5081044.1781370845, 410129.35055971204 5081044.235243291, 410129.30924883945 5081044.271694062, 410129.3092488393 5081044.271694062, 410129.287263553 5081044.319966103, 410129.2813032485 5081044.333052859, 410129.27596665174 5081044.349365261, 410129.23313347105 5081044.480293664)",fracture,0,2
,0.438,136,"LINESTRING (410123.56612622214 5081041.966790359, 410123.7824007926 5081041.735935479, 410123.8677930505 5081041.648920305, 410123.8677930505 5081041.648920305, 410123.86779305054 5081041.648920305)",fracture,0,2
,1.532,136,"LINESTRING (410125.2007509923 5081043.906729369, 410125.5150274071 5081043.526883326, 410125.80143664207 5081043.242129635, 410125.9354262911 5081043.108914493, 410125.9799405572 5081043.068454451, 410125.9799405572 5081043.068454451, 410126.2651046759 5081042.809262216, 410126.26510467596 5081042.809262216)",fracture,0,2
,0.631,94,"LINESTRING (410124.24411054957 5081043.509872965, 410124.3996338362 5081043.470992142, 410124.56366230245 5081043.456411834, 410124.66329440795 5081043.443046552, 410124.7240456918 5081043.460056911, 410124.8662036959 5081043.463701989)",fracture,0,2
,0.807,114,"LINESTRING (410123.88446294935 5081043.107699466, 410124.0217608508 5081043.090689106, 410124.1724240346 5081043.027507771, 410124.43972968345 5081042.910865306, 410124.5357167119 5081042.842823868, 410124.6094614339 5081042.78130939)",fracture,0,2
,0.336,106,"LINESTRING (410124.8127425661 5081043.113774594, 410125.0022865716 5081043.060313464, 410125.13593939604 5081043.023862693)",fracture,0,2
,1.495,103,"LINESTRING (410125.66705896985 5081044.608603546, 410125.76167761954 5081044.557832613, 410125.86373977637 5081044.527456971, 410125.9645869075 5081044.512876663, 410126.033843371 5081044.481285995, 410126.1760013752 5081044.433899994, 410126.2622681982 5081044.422964763, 410126.3594702523 5081044.408384454, 410126.4056412281 5081044.388336531, 410126.5544818734 5081044.387121505, 410126.6595815944 5081044.378616325, 410126.86856601073 5081044.3792238375, 410126.86856601085 5081044.3792238375, 410126.86856601085 5081044.3792238375, 410126.8685660109 5081044.3792238375, 410126.9219218702 5081044.356290178, 410126.9219218704 5081044.356290178, 410126.9378224743 5081044.349455708, 410126.9815633987 5081044.3385204775, 410127.04292219534 5081044.29842463, 410127.1012434278 5081044.283844322)",fracture,0,2
,0.095,174,"LINESTRING (410126.9323548588 5081044.26197386, 410126.9219218704 5081044.356290178, 410126.9219218704 5081044.356290178, 410126.9219218703 5081044.356290178)",fracture,0,2
,0.397,151,"LINESTRING (410126.6797828851 5081044.725853527, 410126.7592136999 5081044.613116279, 410126.7938014064 5081044.549129022, 410126.7938014064 5081044.549129022, 410126.83211524045 5081044.4782484295, 410126.86856601073 5081044.3792238375)",fracture,0,2
